--------------------
BDMEP - INMET
--------------------
Estação           : C  DO MATO DENTRO - MG (OMM: 83589)
Latitude  (graus) : -19.02
Longitude (graus) : -43.43
Altitude  (metros): 652.00
Estação Operante
Inicio de operação: 30/06/1925
Periodo solicitado dos dados: 01/01/1950 a 06/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83589;01/01/1961;0000;;30;;4.3;1.2;22.74;79;0;
83589;01/01/1961;1200;;;19.5;;;;;;
83589;02/01/1961;0000;;26.8;;0.7;1.8;22.06;85.5;1;
83589;02/01/1961;1200;34.8;;19.5;;;;;;
83589;03/01/1961;0000;;29;;3.5;1.6;22.54;79;1;
83589;03/01/1961;1200;27.6;;19.5;;;;;;
83589;04/01/1961;0000;;23.4;;0;1.4;20.86;95.5;0;
83589;04/01/1961;1200;35;;19.5;;;;;;
83589;05/01/1961;0000;;25.2;;0;1.1;21.82;88;0;
83589;05/01/1961;1200;18.6;;19.5;;;;;;
83589;06/01/1961;0000;;29.2;;4.8;1.6;22.66;79.25;1;
83589;06/01/1961;1200;26.4;;19.5;;;;;;
83589;07/01/1961;0000;;28;;4.6;3.1;23.06;77;0;
83589;07/01/1961;1200;19.4;;20.5;;;;;;
83589;08/01/1961;0000;;28.2;;2.8;2;23.32;86.25;0;
83589;08/01/1961;1200;4.1;;21;;;;;;
83589;09/01/1961;0000;;28.4;;4.3;1.1;23.04;79.75;0;
83589;09/01/1961;1200;11.9;;20;;;;;;
83589;10/01/1961;0000;;28.2;;1.2;1.7;22.38;89.5;1.666667;
83589;10/01/1961;1200;2.9;;19.5;;;;;;
83589;11/01/1961;0000;;28;;4.8;0.9;21.56;92.5;0;
83589;11/01/1961;1200;62.8;;18;;;;;;
83589;12/01/1961;0000;;20.8;;0;1.3;19.52;96.25;0;
83589;12/01/1961;1200;53.2;;19;;;;;;
83589;13/01/1961;0000;;21.6;;0;0.4;19.66;93.25;0;
83589;13/01/1961;1200;22.4;;18.5;;;;;;
83589;14/01/1961;0000;;26.6;;1.5;0.4;20.76;87.5;0;
83589;14/01/1961;1200;5.5;;18;;;;;;
83589;15/01/1961;0000;;26.6;;2.6;1.2;20.46;89.75;0;
83589;15/01/1961;1200;41.1;;17.5;;;;;;
83589;16/01/1961;0000;;26.8;;1.9;1;20.86;92;0;
83589;16/01/1961;1200;26;;17.5;;;;;;
83589;17/01/1961;0000;;29.2;;8.6;0.7;21.86;82;0;
83589;17/01/1961;1200;14.1;;16.5;;;;;;
83589;18/01/1961;0000;;30;;4;3.3;23.08;74.75;0;
83589;18/01/1961;1200;0;;19;;;;;;
83589;19/01/1961;0000;;31.2;;6.9;3.2;24.44;72.75;0;
83589;19/01/1961;1200;0;;19;;;;;;
83589;20/01/1961;0000;;27;;3.8;3;21.82;86.25;1;
83589;20/01/1961;1200;4.5;;18.5;;;;;;
83589;21/01/1961;0000;;27.2;;5.2;1.7;21.94;85.75;0;
83589;21/01/1961;1200;49.2;;18.5;;;;;;
83589;22/01/1961;0000;;25.4;;1.9;1.1;20.84;80;0;
83589;22/01/1961;1200;12.3;;17;;;;;;
83589;23/01/1961;0000;;29.2;;7.3;1.9;23;80.25;1;
83589;23/01/1961;1200;11.2;;19;;;;;;
83589;24/01/1961;0000;;24.6;;0;2.2;21.68;89.5;0;
83589;24/01/1961;1200;16.5;;20;;;;;;
83589;25/01/1961;0000;;25.8;;0.6;0.9;22.32;91.5;0;
83589;25/01/1961;1200;8.7;;20;;;;;;
83589;26/01/1961;0000;;27.6;;0.8;0.6;22.1;89.25;0;
83589;26/01/1961;1200;34.6;;19.5;;;;;;
83589;27/01/1961;0000;;23.2;;0;1.3;20.76;95.75;0;
83589;27/01/1961;1200;59.6;;19;;;;;;
83589;28/01/1961;0000;;28.6;;4.8;0.4;21.72;84.5;1;
83589;28/01/1961;1200;34.6;;18;;;;;;
83589;29/01/1961;0000;;29.6;;5.9;2.1;22.64;84;1;
83589;29/01/1961;1200;18.4;;19;;;;;;
83589;30/01/1961;0000;;27.6;;3.7;2.2;22.36;86.25;0;
83589;30/01/1961;1200;5.8;;19;;;;;;
83589;31/01/1961;0000;;28;;2.1;1.5;22.88;91.25;0;
83589;31/01/1961;1200;0;;20;;;;;;
83589;01/02/1961;0000;;29.2;;8;0.8;23.04;82.25;0;
83589;01/02/1961;1200;6.4;;20;;;;;;
83589;02/02/1961;0000;;29.8;;9.7;2.2;23.22;79.5;0;
83589;02/02/1961;1200;0;;19.5;;;;;;
83589;03/02/1961;0000;;29.2;;10.3;3.1;21.34;83.25;0;
83589;03/02/1961;1200;0;;18.5;;;;;;
83589;04/02/1961;0000;;29.8;;9.9;3.2;22.4;77.25;0;
83589;04/02/1961;1200;0;;18;;;;;;
83589;05/02/1961;0000;;29.4;;9;3.8;22.9;73;0;
83589;05/02/1961;1200;0;;18.5;;;;;;
83589;06/02/1961;0000;;29.4;;9.8;3.4;21.82;84.25;0;
83589;06/02/1961;1200;0;;17.5;;;;;;
83589;07/02/1961;0000;;30.4;;10.1;3.1;21.82;79.25;0;
83589;07/02/1961;1200;0;;16.5;;;;;;
83589;08/02/1961;0000;;31.2;;9.8;3.5;22;78;0;
83589;08/02/1961;1200;0;;16;;;;;;
83589;09/02/1961;0000;;31;;6.9;3.7;23.16;73.5;0;
83589;09/02/1961;1200;0;;18;;;;;;
83589;10/02/1961;0000;;31.2;;5.7;3.5;23.8;74.25;0;
83589;10/02/1961;1200;0;;20;;;;;;
83589;11/02/1961;0000;;30.2;;3.8;3.4;23.36;83.75;1.666667;
83589;11/02/1961;1200;0;;20;;;;;;
83589;12/02/1961;0000;;26.8;;2.1;1.8;22.56;81.25;0;
83589;12/02/1961;1200;0.6;;20;;;;;;
83589;13/02/1961;0000;;29.2;;4.8;1.1;22.74;77.75;1;
83589;13/02/1961;1200;9.8;;19.5;;;;;;
83589;14/02/1961;0000;;25;;0.8;3;21.2;93.75;0;
83589;14/02/1961;1200;0;;19;;;;;;
83589;15/02/1961;0000;;21;;0.4;0.6;18.9;94.5;1;
83589;15/02/1961;1200;56.2;;17.5;;;;;;
83589;16/02/1961;0000;;28.2;;6.6;0.6;21.68;83.5;0.333333;
83589;16/02/1961;1200;5.8;;18;;;;;;
83589;17/02/1961;0000;;28;;9;2.5;20.6;82.25;0;
83589;17/02/1961;1200;0;;16;;;;;;
83589;18/02/1961;0000;;27.4;;7.7;2.9;20.18;78.75;0;
83589;18/02/1961;1200;0;;14.5;;;;;;
83589;19/02/1961;0000;;29.4;;6.2;2.4;21.88;78;0;
83589;19/02/1961;1200;0;;17;;;;;;
83589;20/02/1961;0000;;26;;0.6;3.2;21.98;79.5;0;
83589;20/02/1961;1200;0;;19.5;;;;;;
83589;21/02/1961;0000;;27.4;;4.1;1.5;21.84;76.75;1;
83589;21/02/1961;1200;1;;19;;;;;;
83589;22/02/1961;0000;;28.8;;7.1;2.1;20.82;82.25;0;
83589;22/02/1961;1200;0;;16.5;;;;;;
83589;23/02/1961;0000;;30;;4.1;2.3;21.88;78.5;0;
83589;23/02/1961;1200;0;;18;;;;;;
83589;24/02/1961;0000;;29.8;;4.8;1.9;22.78;77.75;0;
83589;24/02/1961;1200;0;;19.5;;;;;;
83589;25/02/1961;0000;;30.8;;6.1;2.6;22.08;83;0;
83589;25/02/1961;1200;0;;18;;;;;;
83589;26/02/1961;0000;;29.4;;5.8;2;22.46;82.75;0;
83589;26/02/1961;1200;7.1;;19.5;;;;;;
83589;27/02/1961;0000;;29.6;;8.2;2;20.72;85.25;0;
83589;27/02/1961;1200;6.3;;18;;;;;;
83589;28/02/1961;0000;;31.8;;7.4;2.2;22.64;79.5;0.666667;
83589;28/02/1961;1200;0;;18;;;;;;
83589;01/03/1961;0000;;30.2;;5.4;2.8;22.36;86.5;0;
83589;01/03/1961;1200;11.6;;19;;;;;;
83589;02/03/1961;0000;;26.8;;1.6;1.8;21.02;87;0;
83589;02/03/1961;1200;25.6;;18.5;;;;;;
83589;03/03/1961;0000;;27.2;;3.7;1.2;21.9;85;1;
83589;03/03/1961;1200;22.1;;19.5;;;;;;
83589;04/03/1961;0000;;27.4;;3.3;1.5;22.36;83;0;
83589;04/03/1961;1200;18.4;;20;;;;;;
83589;05/03/1961;0000;;29.2;;7.7;1.3;22.84;79.25;0;
83589;05/03/1961;1200;46.9;;20;;;;;;
83589;06/03/1961;0000;;27.2;;3.4;2.6;22.6;80;0;
83589;06/03/1961;1200;1.3;;20;;;;;;
83589;07/03/1961;0000;;28.2;;4.2;1.3;23.28;76.75;0;
83589;07/03/1961;1200;41.9;;20;;;;;;
83589;08/03/1961;0000;;26.4;;1.4;2.3;22.06;84.25;0;
83589;08/03/1961;1200;0;;19.5;;;;;;
83589;09/03/1961;0000;;28.8;;6.5;1.6;22.84;79;0;
83589;09/03/1961;1200;0;;19;;;;;;
83589;10/03/1961;0000;;31.2;;7.6;2.1;23.76;78.25;0;
83589;10/03/1961;1200;0;;20;;;;;;
83589;11/03/1961;0000;;29.8;;6.4;2.8;23.6;77.25;0;
83589;11/03/1961;1200;0;;20;;;;;;
83589;12/03/1961;0000;;30.2;;5.4;2.2;23.06;78;0;
83589;12/03/1961;1200;0;;19.5;;;;;;
83589;13/03/1961;0000;;30;;7.5;2.2;22.16;80.5;0;
83589;13/03/1961;1200;0;;18;;;;;;
83589;14/03/1961;0000;;28.6;;6.3;2.5;20.56;85;0;
83589;14/03/1961;1200;0;;17;;;;;;
83589;15/03/1961;0000;;29.2;;6.8;2;21.44;82.25;1;
83589;15/03/1961;1200;0;;18;;;;;;
83589;16/03/1961;0000;;30;;6.5;2.3;22.16;81.25;0;
83589;16/03/1961;1200;0;;18;;;;;;
83589;17/03/1961;0000;;30.4;;3.7;2.4;23.32;85.25;0;
83589;17/03/1961;1200;0;;20;;;;;;
83589;18/03/1961;0000;;32.6;;5.2;1.8;23.6;82.25;0;
83589;18/03/1961;1200;0;;20;;;;;;
83589;19/03/1961;0000;;30.2;;4.3;1.8;22.56;84.5;1;
83589;19/03/1961;1200;20.4;;20;;;;;;
83589;20/03/1961;0000;;28;;6.5;1.5;21.96;83.25;0;
83589;20/03/1961;1200;0;;19;;;;;;
