//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2013 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//	Código da Estação:1943025
//
//------------------------------------------------------------------------------
//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
1943025;1;01/04/2004;1;143;460,8;12;20;1;1;1;;0;13,9;0;1,8;0;23,5;111;7,8;13,3;16,4;29,9;13,8;143;39,5;10,7;0,5;10,8;1,2;0;0;0;0;0;6,5;0;0;5,2;9,9;0,6;1,5;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1943025;1;01/05/2004;1;4;8,6;21;4;1;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;4;1;0;0;0;0;0;0;0;0;0,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/10/2010;1;8,8;40,4;6;13;1;1;1;;0;0;0;0;0;0;8,8;0;2,2;0,5;0;0;7,6;1,3;0,9;0;0;0;0,8;0,9;7,2;0,4;0;0;0;1,2;4,2;0;0;0;0;4,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/01/2011;1;29,2;151,6;16;17;1;1;1;;0;10;9;0,8;22,1;12,2;4,9;0,3;1,2;0;0;4,3;1,6;16,7;8,4;10,7;29,2;0;0;0;0;0;6,1;0,8;0;0;13,3;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/11/2010;1;29;275,6;21;23;1;1;1;;0;9,2;12,3;4,6;3,6;0;17,7;15,3;3,9;13,7;8,2;8,3;10,2;16,7;23,3;1,6;5,8;6,4;16,1;0;0;29;0;24,7;10,8;20,9;3,8;9,5;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1943025;1;01/12/2010;1;77;509,6;29;17;1;1;1;;0;0;19,5;18,6;0,3;0;0;1,2;1,8;69,1;0;0;0;0;5,4;28,1;12,5;0;0;0;0;0;0;0;30,9;1,7;31,7;58,3;40;77;56,8;56,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/09/2010;1;1,6;2,7;22;3;1;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,6;0;0;0;0;0;0;0,7;0,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1943025;1;01/08/2010;1;0;0;1;0;1;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/02/2011;1;19,1;20,5;24;3;1;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,1;0;1,2;0,2;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
1943025;1;01/04/2011;1;19,1;52,4;5;6;1;1;1;;0;1,5;3,9;0;7,9;19,1;17,9;0;0;0;0;0;0;2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1943025;1;01/03/2011;1;67,9;278,7;7;20;1;1;1;;0;8,7;1,9;3,8;2,2;0,9;25,9;67,9;38,8;14,7;24,8;0;27,3;21,6;3,5;0,6;17,9;4,5;6,5;4,8;0;1,9;0;0;0,5;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
