,days_over,return_period
0,0.0,1.0001
1,1.0,1.888406344410876
2,2.0,3.174920634920635
3,3.0,5.141902313624679
4,4.0,7.988019169329074
5,5.0,12.659493670886077
6,6.0,19.306949806949806
7,7.0,28.25141242937853
8,8.0,37.45692883895131
9,9.0,53.481283422459896
10,10.0,75.19548872180451
11,11.0,104.17708333333333
12,12.0,142.87142857142857
13,13.0,188.69811320754718
14,14.0,222.24444444444444
15,15.0,303.06060606060606
16,16.0,370.4074074074074
17,17.0,454.59090909090907
18,18.0,555.6111111111111
19,19.0,769.3076923076923
20,20.0,1666.8333333333333
21,21.0,2500.25
22,22.0,3333.6666666666665
23,28.0,5000.5
24,29.0,10001.0
