,days_over,return_period
0,0.0,1.0001
1,1.0,1.6527846636919516
2,2.0,2.9510179994098555
3,3.0,5.184551581130119
4,4.0,9.100090991810736
5,5.0,15.222222222222221
6,6.0,23.69905213270142
7,7.0,37.04074074074074
8,8.0,55.87150837988827
9,9.0,81.3089430894309
10,10.0,138.90277777777777
11,11.0,232.58139534883722
12,12.0,294.1470588235294
13,13.0,454.59090909090907
14,14.0,500.05
15,15.0,625.0625
16,16.0,714.3571428571429
17,17.0,1000.1
18,18.0,1428.7142857142858
19,19.0,2000.2
20,20.0,3333.6666666666665
21,22.0,5000.5
22,23.0,10001.0
