days_over,return_period,subset
0.0,1.0333333333333334,1
2.0,6.2,1
6.0,7.75,1
7.0,10.333333333333334,1
17.0,31.0,1
0.0,1.0333333333333334,2
1.0,6.2,2
3.0,15.5,2
0.0,1.0333333333333334,3
1.0,6.2,3
3.0,15.5,3
7.0,31.0,3
0.0,1.0333333333333334,4
1.0,6.2,4
2.0,7.75,4
3.0,10.333333333333334,4
4.0,15.5,4
9.0,31.0,4
0.0,1.0333333333333334,5
1.0,6.2,5
2.0,10.333333333333334,5
4.0,31.0,5
0.0,1.0333333333333334,6
2.0,15.5,6
8.0,31.0,6
0.0,1.0333333333333334,7
1.0,5.166666666666667,7
2.0,6.2,7
3.0,7.75,7
4.0,10.333333333333334,7
5.0,15.5,7
9.0,31.0,7
0.0,1.0333333333333334,8
1.0,5.166666666666667,8
2.0,7.75,8
3.0,15.5,8
4.0,31.0,8
0.0,1.0333333333333334,9
1.0,15.5,9
2.0,31.0,9
0.0,1.0333333333333334,10
1.0,6.2,10
2.0,10.333333333333334,10
4.0,31.0,10
0.0,1.0333333333333334,11
2.0,31.0,11
0.0,1.0333333333333334,12
1.0,7.75,12
5.0,31.0,12
0.0,1.0333333333333334,13
1.0,6.2,13
4.0,10.333333333333334,13
5.0,31.0,13
0.0,1.0333333333333334,14
1.0,7.75,14
3.0,10.333333333333334,14
6.0,31.0,14
0.0,1.0333333333333334,15
1.0,4.428571428571429,15
2.0,6.2,15
3.0,7.75,15
5.0,10.333333333333334,15
6.0,15.5,15
0.0,1.0333333333333334,16
2.0,7.75,16
3.0,10.333333333333334,16
0.0,1.0333333333333334,17
1.0,10.333333333333334,17
2.0,31.0,17
0.0,1.0333333333333334,18
1.0,4.428571428571429,18
2.0,7.75,18
3.0,31.0,18
0.0,1.0333333333333334,19
1.0,5.166666666666667,19
3.0,10.333333333333334,19
0.0,1.0333333333333334,20
1.0,2.8181818181818183,20
2.0,3.875,20
3.0,7.75,20
5.0,15.5,20
7.0,31.0,20
0.0,1.0333333333333334,21
1.0,5.166666666666667,21
2.0,15.5,21
3.0,31.0,21
0.0,1.0333333333333334,22
1.0,6.2,22
2.0,10.333333333333334,22
3.0,15.5,22
4.0,31.0,22
0.0,1.0333333333333334,23
1.0,4.428571428571429,23
2.0,10.333333333333334,23
3.0,15.5,23
4.0,31.0,23
0.0,1.0333333333333334,24
1.0,6.2,24
2.0,7.75,24
3.0,31.0,24
0.0,1.0333333333333334,25
1.0,7.75,25
2.0,15.5,25
0.0,1.0333333333333334,26
1.0,4.428571428571429,26
2.0,7.75,26
0.0,1.0333333333333334,27
2.0,10.333333333333334,27
4.0,31.0,27
0.0,1.0333333333333334,28
1.0,7.75,28
2.0,10.333333333333334,28
3.0,15.5,28
20.0,31.0,28
0.0,1.0333333333333334,29
1.0,15.5,29
0.0,1.0333333333333334,30
1.0,4.428571428571429,30
2.0,10.333333333333334,30
3.0,31.0,30
0.0,1.0333333333333334,31
1.0,10.333333333333334,31
12.0,31.0,31
0.0,1.0333333333333334,32
2.0,6.2,32
3.0,7.75,32
13.0,31.0,32
0.0,1.0333333333333334,33
1.0,7.75,33
2.0,10.333333333333334,33
4.0,15.5,33
7.0,31.0,33
0.0,1.0333333333333334,34
1.0,4.428571428571429,34
2.0,7.75,34
3.0,10.333333333333334,34
5.0,15.5,34
8.0,31.0,34
0.0,1.0333333333333334,35
1.0,7.75,35
4.0,31.0,35
0.0,1.0333333333333334,36
1.0,2.8181818181818183,36
2.0,5.166666666666667,36
3.0,7.75,36
0.0,1.0333333333333334,37
1.0,10.333333333333334,37
0.0,1.0333333333333334,38
1.0,4.428571428571429,38
2.0,10.333333333333334,38
3.0,15.5,38
11.0,31.0,38
0.0,1.0333333333333334,39
1.0,7.75,39
2.0,15.5,39
4.0,31.0,39
0.0,1.0333333333333334,40
1.0,10.333333333333334,40
2.0,15.5,40
8.0,31.0,40
0.0,1.0333333333333334,41
1.0,3.875,41
2.0,7.75,41
4.0,31.0,41
