days_over,return_period,subset
0.0,1.0333333333333334,1
1.0,1.631578947368421,1
2.0,2.3846153846153846,1
3.0,3.875,1
4.0,7.75,1
5.0,15.5,1
0.0,1.0333333333333334,2
1.0,1.4090909090909092,2
2.0,2.8181818181818183,2
3.0,3.875,2
4.0,5.166666666666667,2
5.0,6.2,2
6.0,10.333333333333334,2
19.0,31.0,2
0.0,1.0333333333333334,3
1.0,1.4761904761904763,3
2.0,1.9375,3
3.0,3.1,3
4.0,5.166666666666667,3
5.0,10.333333333333334,3
6.0,15.5,3
23.0,31.0,3
0.0,1.0333333333333334,4
1.0,2.066666666666667,4
2.0,3.875,4
3.0,4.428571428571429,4
5.0,6.2,4
7.0,7.75,4
8.0,10.333333333333334,4
9.0,15.5,4
0.0,1.0333333333333334,5
1.0,1.55,5
2.0,2.3846153846153846,5
3.0,3.875,5
4.0,6.2,5
5.0,10.333333333333334,5
6.0,15.5,5
0.0,1.0333333333333334,6
1.0,1.8235294117647058,6
2.0,4.428571428571429,6
3.0,7.75,6
5.0,15.5,6
10.0,31.0,6
0.0,1.0333333333333334,7
1.0,1.4090909090909092,7
2.0,2.3846153846153846,7
3.0,3.875,7
4.0,6.2,7
6.0,10.333333333333334,7
8.0,31.0,7
0.0,1.0333333333333334,8
1.0,1.55,8
2.0,2.5833333333333335,8
3.0,3.875,8
4.0,5.166666666666667,8
5.0,10.333333333333334,8
7.0,15.5,8
0.0,1.0333333333333334,9
1.0,2.5833333333333335,9
2.0,4.428571428571429,9
3.0,15.5,9
4.0,31.0,9
0.0,1.0333333333333334,10
1.0,1.631578947368421,10
2.0,3.875,10
3.0,6.2,10
4.0,10.333333333333334,10
5.0,15.5,10
6.0,31.0,10
0.0,1.0333333333333334,11
1.0,2.5833333333333335,11
2.0,4.428571428571429,11
3.0,7.75,11
4.0,31.0,11
0.0,1.0333333333333334,12
1.0,1.7222222222222223,12
2.0,2.3846153846153846,12
3.0,3.4444444444444446,12
4.0,10.333333333333334,12
6.0,15.5,12
0.0,1.0333333333333334,13
1.0,1.8235294117647058,13
2.0,2.8181818181818183,13
3.0,4.428571428571429,13
4.0,6.2,13
5.0,10.333333333333334,13
6.0,15.5,13
9.0,31.0,13
0.0,1.0333333333333334,14
1.0,1.9375,14
2.0,2.3846153846153846,14
3.0,4.428571428571429,14
4.0,10.333333333333334,14
5.0,15.5,14
6.0,31.0,14
0.0,1.0333333333333334,15
1.0,2.066666666666667,15
2.0,3.875,15
3.0,7.75,15
8.0,15.5,15
11.0,31.0,15
0.0,1.0333333333333334,16
1.0,1.631578947368421,16
2.0,2.8181818181818183,16
3.0,4.428571428571429,16
4.0,7.75,16
6.0,10.333333333333334,16
0.0,1.0333333333333334,17
1.0,1.7222222222222223,17
2.0,2.5833333333333335,17
4.0,5.166666666666667,17
5.0,10.333333333333334,17
6.0,15.5,17
8.0,31.0,17
0.0,1.0333333333333334,18
1.0,1.4761904761904763,18
2.0,2.066666666666667,18
3.0,3.4444444444444446,18
4.0,6.2,18
7.0,10.333333333333334,18
10.0,31.0,18
0.0,1.0333333333333334,19
1.0,1.4761904761904763,19
2.0,2.8181818181818183,19
3.0,4.428571428571429,19
4.0,6.2,19
6.0,15.5,19
7.0,31.0,19
0.0,1.0333333333333334,20
1.0,1.4761904761904763,20
2.0,2.5833333333333335,20
3.0,4.428571428571429,20
4.0,6.2,20
5.0,10.333333333333334,20
6.0,15.5,20
7.0,31.0,20
0.0,1.0333333333333334,21
1.0,1.4090909090909092,21
2.0,2.8181818181818183,21
3.0,3.875,21
4.0,7.75,21
9.0,15.5,21
10.0,31.0,21
0.0,1.0333333333333334,22
1.0,1.4761904761904763,22
2.0,2.3846153846153846,22
3.0,3.875,22
4.0,5.166666666666667,22
6.0,7.75,22
7.0,15.5,22
9.0,31.0,22
0.0,1.0333333333333334,23
1.0,1.7222222222222223,23
2.0,3.4444444444444446,23
4.0,10.333333333333334,23
5.0,15.5,23
6.0,31.0,23
0.0,1.0333333333333334,24
1.0,1.4761904761904763,24
2.0,3.1,24
3.0,6.2,24
4.0,10.333333333333334,24
5.0,15.5,24
0.0,1.0333333333333334,25
1.0,1.631578947368421,25
2.0,2.8181818181818183,25
3.0,15.5,25
6.0,31.0,25
0.0,1.0333333333333334,26
1.0,1.8235294117647058,26
2.0,3.875,26
