days_over,return_period,subset
0.0,1.0333333333333334,1
1.0,3.875,1
2.0,5.166666666666667,1
3.0,7.75,1
5.0,15.5,1
0.0,1.0333333333333334,2
1.0,6.2,2
2.0,10.333333333333334,2
3.0,15.5,2
0.0,1.0333333333333334,3
1.0,3.4444444444444446,3
2.0,7.75,3
4.0,15.5,3
7.0,31.0,3
0.0,1.0333333333333334,4
1.0,3.875,4
2.0,15.5,4
12.0,31.0,4
0.0,1.0333333333333334,5
1.0,3.4444444444444446,5
2.0,15.5,5
0.0,1.0333333333333334,6
1.0,2.5833333333333335,6
2.0,3.875,6
3.0,7.75,6
4.0,10.333333333333334,6
6.0,31.0,6
0.0,1.0333333333333334,7
1.0,3.1,7
2.0,5.166666666666667,7
3.0,10.333333333333334,7
4.0,15.5,7
6.0,31.0,7
0.0,1.0333333333333334,8
1.0,3.4444444444444446,8
2.0,5.166666666666667,8
3.0,15.5,8
16.0,31.0,8
0.0,1.0333333333333334,9
1.0,7.75,9
2.0,15.5,9
0.0,1.0333333333333334,10
1.0,3.875,10
3.0,15.5,10
4.0,31.0,10
0.0,1.0333333333333334,11
1.0,2.8181818181818183,11
2.0,7.75,11
3.0,15.5,11
0.0,1.0333333333333334,12
1.0,2.5833333333333335,12
2.0,4.428571428571429,12
6.0,10.333333333333334,12
7.0,15.5,12
11.0,31.0,12
0.0,1.0333333333333334,13
1.0,3.1,13
2.0,3.4444444444444446,13
3.0,5.166666666666667,13
4.0,6.2,13
5.0,7.75,13
6.0,15.5,13
15.0,31.0,13
0.0,1.0333333333333334,14
1.0,4.428571428571429,14
2.0,15.5,14
3.0,31.0,14
0.0,1.0333333333333334,15
1.0,3.875,15
2.0,31.0,15
0.0,1.0333333333333334,16
1.0,5.166666666666667,16
2.0,15.5,16
0.0,1.0333333333333334,17
1.0,3.1,17
2.0,4.428571428571429,17
3.0,10.333333333333334,17
12.0,31.0,17
0.0,1.0333333333333334,18
1.0,2.8181818181818183,18
2.0,5.166666666666667,18
4.0,15.5,18
0.0,1.0333333333333334,19
1.0,3.1,19
2.0,4.428571428571429,19
3.0,5.166666666666667,19
4.0,7.75,19
5.0,15.5,19
6.0,31.0,19
0.0,1.0333333333333334,20
1.0,3.1,20
2.0,5.166666666666667,20
3.0,6.2,20
4.0,15.5,20
5.0,31.0,20
0.0,1.0333333333333334,21
1.0,3.4444444444444446,21
3.0,6.2,21
5.0,31.0,21
0.0,1.0333333333333334,22
1.0,3.875,22
2.0,6.2,22
3.0,7.75,22
5.0,15.5,22
0.0,1.0333333333333334,23
1.0,3.4444444444444446,23
2.0,6.2,23
3.0,7.75,23
4.0,31.0,23
0.0,1.0333333333333334,24
1.0,2.066666666666667,24
2.0,3.1,24
3.0,7.75,24
5.0,10.333333333333334,24
0.0,1.0333333333333334,25
1.0,3.875,25
2.0,10.333333333333334,25
4.0,31.0,25
0.0,1.0333333333333334,26
1.0,4.428571428571429,26
2.0,10.333333333333334,26
3.0,15.5,26
5.0,31.0,26
0.0,1.0333333333333334,27
1.0,3.4444444444444446,27
2.0,7.75,27
3.0,10.333333333333334,27
6.0,15.5,27
7.0,31.0,27
0.0,1.0333333333333334,28
1.0,3.875,28
