days_over,return_period,subset
0.0,1.0333333333333334,1
1.0,1.4761904761904763,1
2.0,1.8235294117647058,1
3.0,3.1,1
4.0,4.428571428571429,1
5.0,6.2,1
7.0,10.333333333333334,1
9.0,15.5,1
15.0,31.0,1
0.0,1.0333333333333334,2
1.0,1.631578947368421,2
2.0,2.2142857142857144,2
3.0,3.4444444444444446,2
4.0,5.166666666666667,2
5.0,6.2,2
6.0,7.75,2
7.0,10.333333333333334,2
15.0,15.5,2
19.0,31.0,2
0.0,1.0333333333333334,3
1.0,1.7222222222222223,3
2.0,2.5833333333333335,3
3.0,3.875,3
4.0,10.333333333333334,3
9.0,31.0,3
0.0,1.0333333333333334,4
1.0,2.066666666666667,4
2.0,3.4444444444444446,4
4.0,4.428571428571429,4
5.0,6.2,4
6.0,10.333333333333334,4
7.0,15.5,4
8.0,31.0,4
0.0,1.0333333333333334,5
1.0,1.8235294117647058,5
2.0,2.2142857142857144,5
3.0,4.428571428571429,5
10.0,7.75,5
13.0,31.0,5
0.0,1.0333333333333334,6
1.0,1.631578947368421,6
2.0,2.5833333333333335,6
3.0,4.428571428571429,6
5.0,7.75,6
6.0,10.333333333333334,6
7.0,15.5,6
9.0,31.0,6
0.0,1.0333333333333334,7
1.0,1.4761904761904763,7
2.0,3.875,7
4.0,10.333333333333334,7
5.0,15.5,7
6.0,31.0,7
0.0,1.0333333333333334,8
1.0,2.066666666666667,8
2.0,3.875,8
3.0,5.166666666666667,8
6.0,7.75,8
7.0,10.333333333333334,8
9.0,15.5,8
14.0,31.0,8
0.0,1.0333333333333334,9
1.0,1.631578947368421,9
2.0,3.1,9
3.0,7.75,9
5.0,10.333333333333334,9
0.0,1.0333333333333334,10
1.0,1.7222222222222223,10
2.0,3.4444444444444446,10
3.0,7.75,10
6.0,31.0,10
0.0,1.0333333333333334,11
1.0,2.2142857142857144,11
2.0,7.75,11
3.0,10.333333333333334,11
5.0,15.5,11
11.0,31.0,11
0.0,1.0333333333333334,12
1.0,1.55,12
2.0,3.1,12
3.0,6.2,12
4.0,7.75,12
5.0,10.333333333333334,12
9.0,15.5,12
10.0,31.0,12
0.0,1.0333333333333334,13
1.0,1.4090909090909092,13
2.0,2.3846153846153846,13
3.0,3.1,13
4.0,5.166666666666667,13
5.0,7.75,13
7.0,10.333333333333334,13
8.0,15.5,13
10.0,31.0,13
0.0,1.0333333333333334,14
1.0,1.4761904761904763,14
2.0,2.8181818181818183,14
3.0,4.428571428571429,14
4.0,6.2,14
5.0,10.333333333333334,14
13.0,31.0,14
0.0,1.0333333333333334,15
1.0,1.7222222222222223,15
2.0,4.428571428571429,15
