,days_over,return_period
0,0.0,1
1,0.0,1
2,0.0,1
3,0.0,1
4,0.0,1
5,1.0,3
6,0.0,1
7,1.0,3
8,3.0,12
9,0.0,1
10,4.0,21
11,1.0,3
12,0.0,1
13,1.0,3
14,0.0,1
15,0.0,1
16,0.0,1
17,0.0,1
18,3.0,12
19,0.0,1
20,0.0,1
21,0.0,1
22,3.0,12
23,0.0,1
24,0.0,1
25,0.0,1
26,0.0,1
27,1.0,3
28,1.0,3
29,0.0,1
30,0.0,1
31,0.0,1
32,0.0,1
33,0.0,1
34,1.0,3
35,2.0,6
36,0.0,1
37,0.0,1
38,1.0,3
39,0.0,1
40,0.0,1
41,0.0,1
42,0.0,1
43,2.0,6
44,0.0,1
45,0.0,1
46,0.0,1
47,0.0,1
48,0.0,1
49,0.0,1
50,0.0,1
51,1.0,3
52,1.0,3
53,0.0,1
54,0.0,1
55,0.0,1
56,0.0,1
57,0.0,1
58,0.0,1
59,0.0,1
60,1.0,3
61,0.0,1
62,0.0,1
63,0.0,1
64,0.0,1
65,0.0,1
66,0.0,1
67,0.0,1
68,5.0,33
69,4.0,21
70,0.0,1
71,0.0,1
72,0.0,1
73,0.0,1
74,0.0,1
75,1.0,3
76,0.0,1
77,0.0,1
78,0.0,1
79,4.0,21
80,0.0,1
81,0.0,1
82,0.0,1
83,0.0,1
84,2.0,6
85,0.0,1
86,0.0,1
87,0.0,1
88,3.0,12
89,0.0,1
90,0.0,1
91,0.0,1
92,0.0,1
93,1.0,3
94,0.0,1
95,1.0,3
96,4.0,21
97,0.0,1
98,0.0,1
99,0.0,1
100,0.0,1
101,0.0,1
102,2.0,6
103,0.0,1
104,9.0,147
105,0.0,1
106,0.0,1
107,1.0,3
108,0.0,1
109,0.0,1
110,2.0,6
111,0.0,1
112,1.0,3
113,0.0,1
114,2.0,6
115,1.0,3
116,0.0,1
117,11.0,285
118,0.0,1
119,0.0,1
120,0.0,1
121,0.0,1
122,0.0,1
123,0.0,1
124,0.0,1
125,0.0,1
126,0.0,1
127,0.0,1
128,0.0,1
129,0.0,1
130,0.0,1
131,1.0,3
132,0.0,1
133,0.0,1
134,1.0,3
135,4.0,21
136,0.0,1
137,0.0,1
138,0.0,1
139,1.0,3
140,0.0,1
141,8.0,108
142,1.0,3
143,0.0,1
144,0.0,1
145,0.0,1
146,4.0,21
147,9.0,147
148,0.0,1
149,0.0,1
150,2.0,6
151,3.0,12
152,0.0,1
153,0.0,1
154,1.0,3
155,0.0,1
156,1.0,3
157,0.0,1
158,0.0,1
159,3.0,12
160,0.0,1
161,0.0,1
162,0.0,1
163,0.0,1
164,3.0,12
165,0.0,1
166,0.0,1
167,0.0,1
168,0.0,1
169,14.0,1250
170,0.0,1
171,0.0,1
172,0.0,1
173,0.0,1
174,0.0,1
175,1.0,3
176,0.0,1
177,0.0,1
178,0.0,1
179,0.0,1
180,1.0,3
181,0.0,1
182,0.0,1
183,0.0,1
184,0.0,1
185,0.0,1
186,0.0,1
187,0.0,1
188,2.0,6
189,0.0,1
190,0.0,1
191,0.0,1
192,2.0,6
193,1.0,3
194,3.0,12
195,0.0,1
196,0.0,1
197,0.0,1
