days_over,return_period,subset
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
1.0,3.0,1.0
0.0,1.0,1.0
1.0,3.0,1.0
3.0,7.0,1.0
0.0,1.0,1.0
4.0,31.0,1.0
1.0,3.0,1.0
0.0,1.0,1.0
1.0,3.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
3.0,7.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
3.0,7.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
1.0,3.0,1.0
1.0,3.0,1.0
0.0,1.0,1.0
0.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
1.0,5.0,2.0
2.0,15.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
1.0,5.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
2.0,15.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
1.0,5.0,2.0
1.0,5.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
1.0,4.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
5.0,31.0,3.0
4.0,10.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
1.0,4.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
4.0,10.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
2.0,6.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
3.0,7.0,3.0
0.0,1.0,3.0
0.0,1.0,4.0
0.0,1.0,4.0
0.0,1.0,4.0
1.0,2.0,4.0
0.0,1.0,4.0
1.0,2.0,4.0
4.0,10.0,4.0
0.0,1.0,4.0
0.0,1.0,4.0
0.0,1.0,4.0
0.0,1.0,4.0
0.0,1.0,4.0
2.0,5.0,4.0
0.0,1.0,4.0
9.0,15.0,4.0
0.0,1.0,4.0
0.0,1.0,4.0
1.0,2.0,4.0
0.0,1.0,4.0
0.0,1.0,4.0
2.0,5.0,4.0
0.0,1.0,4.0
1.0,2.0,4.0
0.0,1.0,4.0
2.0,5.0,4.0
1.0,2.0,4.0
0.0,1.0,4.0
11.0,31.0,4.0
0.0,1.0,4.0
0.0,1.0,4.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
1.0,3.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
1.0,3.0,5.0
4.0,7.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
1.0,3.0,5.0
0.0,1.0,5.0
8.0,15.0,5.0
1.0,3.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
4.0,7.0,5.0
9.0,31.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
2.0,6.0,6.0
3.0,7.0,6.0
0.0,1.0,6.0
0.0,1.0,6.0
1.0,3.0,6.0
0.0,1.0,6.0
1.0,3.0,6.0
0.0,1.0,6.0
0.0,1.0,6.0
3.0,7.0,6.0
0.0,1.0,6.0
0.0,1.0,6.0
0.0,1.0,6.0
0.0,1.0,6.0
3.0,7.0,6.0
0.0,1.0,6.0
0.0,1.0,6.0
0.0,1.0,6.0
0.0,1.0,6.0
14.0,31.0,6.0
0.0,1.0,6.0
0.0,1.0,6.0
0.0,1.0,6.0
0.0,1.0,6.0
0.0,1.0,6.0
1.0,3.0,6.0
0.0,1.0,6.0
0.0,1.0,6.0
0.0,1.0,6.0
0.0,1.0,6.0
1.0,3.0,7.0
0.0,1.0,7.0
0.0,1.0,7.0
0.0,1.0,7.0
0.0,1.0,7.0
0.0,1.0,7.0
0.0,1.0,7.0
0.0,1.0,7.0
2.0,6.0,7.0
0.0,1.0,7.0
0.0,1.0,7.0
0.0,1.0,7.0
2.0,6.0,7.0
1.0,3.0,7.0
3.0,15.0,7.0
0.0,1.0,7.0
0.0,1.0,7.0
0.0,1.0,7.0
0.0,1.0,7.0
0.0,1.0,7.0
0.0,1.0,7.0
0.0,1.0,7.0
0.0,1.0,7.0
0.0,1.0,7.0
0.0,1.0,7.0
2.0,6.0,7.0
4.0,31.0,7.0
0.0,1.0,7.0
0.0,1.0,7.0
1.0,3.0,7.0
2.0,5.0,8.0
1.0,2.0,8.0
0.0,1.0,8.0
3.0,7.0,8.0
0.0,1.0,8.0
0.0,1.0,8.0
1.0,2.0,8.0
0.0,1.0,8.0
7.0,15.0,8.0
1.0,2.0,8.0
1.0,2.0,8.0
0.0,1.0,8.0
0.0,1.0,8.0
0.0,1.0,8.0
2.0,5.0,8.0
0.0,1.0,8.0
0.0,1.0,8.0
0.0,1.0,8.0
0.0,1.0,8.0
0.0,1.0,8.0
0.0,1.0,8.0
0.0,1.0,8.0
13.0,31.0,8.0
1.0,2.0,8.0
0.0,1.0,8.0
0.0,1.0,8.0
4.0,10.0,8.0
1.0,2.0,8.0
0.0,1.0,8.0
1.0,2.0,8.0
0.0,1.0,9.0
0.0,1.0,9.0
0.0,1.0,9.0
0.0,1.0,9.0
0.0,1.0,9.0
0.0,1.0,9.0
0.0,1.0,9.0
1.0,4.0,9.0
1.0,4.0,9.0
0.0,1.0,9.0
0.0,1.0,9.0
0.0,1.0,9.0
0.0,1.0,9.0
0.0,1.0,9.0
0.0,1.0,9.0
0.0,1.0,9.0
0.0,1.0,9.0
0.0,1.0,9.0
0.0,1.0,9.0
0.0,1.0,9.0
2.0,15.0,9.0
0.0,1.0,9.0
0.0,1.0,9.0
0.0,1.0,9.0
2.0,15.0,9.0
1.0,4.0,9.0
1.0,4.0,9.0
0.0,1.0,9.0
1.0,4.0,9.0
0.0,1.0,9.0
0.0,1.0,10.0
0.0,1.0,10.0
1.0,5.0,10.0
0.0,1.0,10.0
2.0,15.0,10.0
1.0,5.0,10.0
0.0,1.0,10.0
0.0,1.0,10.0
0.0,1.0,10.0
0.0,1.0,10.0
0.0,1.0,10.0
0.0,1.0,10.0
1.0,5.0,10.0
0.0,1.0,10.0
0.0,1.0,10.0
0.0,1.0,10.0
0.0,1.0,10.0
0.0,1.0,10.0
0.0,1.0,10.0
0.0,1.0,10.0
0.0,1.0,10.0
0.0,1.0,10.0
0.0,1.0,10.0
2.0,15.0,10.0
0.0,1.0,10.0
0.0,1.0,10.0
1.0,5.0,10.0
0.0,1.0,10.0
0.0,1.0,10.0
0.0,1.0,10.0
0.0,1.0,11.0
0.0,1.0,11.0
0.0,1.0,11.0
0.0,1.0,11.0
1.0,3.0,11.0
1.0,3.0,11.0
0.0,1.0,11.0
0.0,1.0,11.0
0.0,1.0,11.0
0.0,1.0,11.0
1.0,3.0,11.0
0.0,1.0,11.0
0.0,1.0,11.0
3.0,31.0,11.0
0.0,1.0,11.0
0.0,1.0,11.0
0.0,1.0,11.0
0.0,1.0,11.0
2.0,15.0,11.0
0.0,1.0,11.0
1.0,3.0,11.0
1.0,3.0,11.0
0.0,1.0,11.0
0.0,1.0,11.0
0.0,1.0,11.0
0.0,1.0,11.0
0.0,1.0,11.0
0.0,1.0,11.0
0.0,1.0,11.0
1.0,3.0,11.0
0.0,1.0,12.0
0.0,1.0,12.0
0.0,1.0,12.0
0.0,1.0,12.0
