days_over,return_period,subset
0.0,1.0333333333333334,1
1.0,2.2142857142857144,1
2.0,4.428571428571429,1
3.0,7.75,1
6.0,15.5,1
7.0,31.0,1
0.0,1.0333333333333334,2
1.0,1.9375,2
2.0,2.8181818181818183,2
3.0,4.428571428571429,2
4.0,10.333333333333334,2
7.0,31.0,2
0.0,1.0333333333333334,3
1.0,1.4761904761904763,3
2.0,2.3846153846153846,3
3.0,3.875,3
4.0,10.333333333333334,3
5.0,15.5,3
6.0,31.0,3
0.0,1.0333333333333334,4
1.0,1.7222222222222223,4
2.0,4.428571428571429,4
3.0,10.333333333333334,4
4.0,31.0,4
0.0,1.0333333333333334,5
1.0,1.9375,5
2.0,2.8181818181818183,5
3.0,7.75,5
4.0,15.5,5
6.0,31.0,5
0.0,1.0333333333333334,6
1.0,1.8235294117647058,6
2.0,2.3846153846153846,6
3.0,4.428571428571429,6
4.0,7.75,6
5.0,10.333333333333334,6
6.0,15.5,6
0.0,1.0333333333333334,7
1.0,1.55,7
2.0,4.428571428571429,7
3.0,6.2,7
4.0,10.333333333333334,7
6.0,15.5,7
7.0,31.0,7
0.0,1.0333333333333334,8
1.0,2.2142857142857144,8
2.0,3.875,8
3.0,10.333333333333334,8
4.0,15.5,8
0.0,1.0333333333333334,9
1.0,1.631578947368421,9
2.0,5.166666666666667,9
3.0,7.75,9
4.0,10.333333333333334,9
7.0,15.5,9
0.0,1.0333333333333334,10
1.0,1.4761904761904763,10
2.0,7.75,10
3.0,10.333333333333334,10
4.0,15.5,10
0.0,1.0333333333333334,11
1.0,1.55,11
2.0,2.2142857142857144,11
3.0,5.166666666666667,11
4.0,15.5,11
5.0,31.0,11
0.0,1.0333333333333334,12
1.0,1.4090909090909092,12
2.0,2.066666666666667,12
3.0,5.166666666666667,12
4.0,6.2,12
5.0,10.333333333333334,12
6.0,31.0,12
0.0,1.0333333333333334,13
1.0,1.631578947368421,13
2.0,2.5833333333333335,13
3.0,4.428571428571429,13
4.0,6.2,13
10.0,10.333333333333334,13
11.0,15.5,13
12.0,31.0,13
0.0,1.0333333333333334,14
1.0,1.631578947368421,14
2.0,3.4444444444444446,14
3.0,5.166666666666667,14
4.0,15.5,14
5.0,31.0,14
0.0,1.0333333333333334,15
1.0,2.3846153846153846,15
2.0,6.2,15
3.0,7.75,15
4.0,15.5,15
6.0,31.0,15
0.0,1.0333333333333334,16
1.0,1.631578947368421,16
2.0,3.4444444444444446,16
3.0,4.428571428571429,16
4.0,7.75,16
5.0,10.333333333333334,16
7.0,31.0,16
0.0,1.0333333333333334,17
1.0,1.8235294117647058,17
2.0,2.5833333333333335,17
3.0,5.166666666666667,17
4.0,7.75,17
5.0,31.0,17
0.0,1.0333333333333334,18
1.0,1.55,18
2.0,2.8181818181818183,18
3.0,6.2,18
4.0,15.5,18
0.0,1.0333333333333334,19
1.0,1.2916666666666667,19
2.0,2.8181818181818183,19
3.0,5.166666666666667,19
4.0,10.333333333333334,19
0.0,1.0333333333333334,20
1.0,1.3478260869565217,20
2.0,3.4444444444444446,20
3.0,7.75,20
5.0,15.5,20
8.0,31.0,20
0.0,1.0333333333333334,21
1.0,2.066666666666667,21
2.0,3.4444444444444446,21
3.0,5.166666666666667,21
4.0,10.333333333333334,21
6.0,31.0,21
0.0,1.0333333333333334,22
1.0,1.55,22
2.0,3.875,22
3.0,15.5,22
0.0,1.0333333333333334,23
1.0,1.8235294117647058,23
2.0,3.1,23
3.0,7.75,23
5.0,15.5,23
6.0,31.0,23
0.0,1.0333333333333334,24
1.0,1.4090909090909092,24
2.0,2.8181818181818183,24
3.0,7.75,24
4.0,15.5,24
0.0,1.0333333333333334,25
1.0,2.3846153846153846,25
2.0,4.428571428571429,25
3.0,7.75,25
4.0,10.333333333333334,25
5.0,15.5,25
0.0,1.0333333333333334,26
1.0,1.4761904761904763,26
2.0,3.4444444444444446,26
3.0,10.333333333333334,26
0.0,1.0333333333333334,27
1.0,1.7222222222222223,27
2.0,2.5833333333333335,27
3.0,5.166666666666667,27
4.0,6.2,27
5.0,7.75,27
6.0,10.333333333333334,27
7.0,15.5,27
8.0,31.0,27
0.0,1.0333333333333334,28
1.0,1.7222222222222223,28
2.0,4.428571428571429,28
3.0,15.5,28
0.0,1.0333333333333334,29
1.0,1.7222222222222223,29
2.0,4.428571428571429,29
3.0,7.75,29
10.0,31.0,29
0.0,1.0333333333333334,30
1.0,1.9375,30
2.0,3.4444444444444446,30
3.0,7.75,30
5.0,31.0,30
0.0,1.0333333333333334,31
1.0,1.4761904761904763,31
2.0,4.428571428571429,31
3.0,6.2,31
4.0,7.75,31
6.0,31.0,31
0.0,1.0333333333333334,32
1.0,2.3846153846153846,32
2.0,5.166666666666667,32
3.0,10.333333333333334,32
4.0,15.5,32
9.0,31.0,32
0.0,1.0333333333333334,33
1.0,1.7222222222222223,33
2.0,3.1,33
3.0,3.875,33
4.0,10.333333333333334,33
5.0,15.5,33
6.0,31.0,33
0.0,1.0333333333333334,34
1.0,1.9375,34
2.0,3.4444444444444446,34
3.0,7.75,34
4.0,10.333333333333334,34
6.0,31.0,34
0.0,1.0333333333333334,35
1.0,1.4761904761904763,35
2.0,4.428571428571429,35
3.0,10.333333333333334,35
4.0,15.5,35
5.0,31.0,35
0.0,1.0333333333333334,36
1.0,1.4761904761904763,36
2.0,2.3846153846153846,36
3.0,4.428571428571429,36
4.0,5.166666666666667,36
5.0,6.2,36
9.0,15.5,36
11.0,31.0,36
0.0,1.0333333333333334,37
1.0,1.9375,37
2.0,3.875,37
3.0,5.166666666666667,37
4.0,10.333333333333334,37
8.0,15.5,37
10.0,31.0,37
0.0,1.0333333333333334,38
