,days_over,return_period
0,58.0,1.0333333333333334
1,72.0,1.0689655172413792
2,80.0,1.1071428571428572
3,81.0,1.1481481481481481
4,83.0,1.24
5,86.0,1.2916666666666667
6,92.0,1.3478260869565217
7,97.0,1.4090909090909092
8,99.0,1.4761904761904763
9,103.0,1.55
10,104.0,1.631578947368421
11,106.0,1.7222222222222223
12,108.0,1.8235294117647058
13,109.0,1.9375
14,121.0,2.066666666666667
15,123.0,2.3846153846153846
16,132.0,2.5833333333333335
17,135.0,2.8181818181818183
18,139.0,3.1
19,143.0,3.4444444444444446
20,153.0,4.428571428571429
