days_over,return_period,subset
35.0,1.0333333333333334,1
44.0,1.0689655172413792,1
49.0,1.1481481481481481,1
52.0,1.1923076923076923,1
57.0,1.24,1
60.0,1.2916666666666667,1
64.0,1.3478260869565217,1
65.0,1.4761904761904763,1
70.0,1.55,1
71.0,1.7222222222222223,1
72.0,1.8235294117647058,1
77.0,1.9375,1
78.0,2.066666666666667,1
80.0,2.2142857142857144,1
86.0,2.3846153846153846,1
90.0,2.5833333333333335,1
91.0,2.8181818181818183,1
92.0,3.1,1
94.0,3.875,1
95.0,4.428571428571429,1
97.0,5.166666666666667,1
102.0,6.2,1
103.0,7.75,1
104.0,10.333333333333334,1
108.0,15.5,1
117.0,31.0,1
38.0,1.0333333333333334,2
43.0,1.0689655172413792,2
51.0,1.1071428571428572,2
61.0,1.1481481481481481,2
64.0,1.1923076923076923,2
65.0,1.24,2
68.0,1.2916666666666667,2
69.0,1.3478260869565217,2
70.0,1.4090909090909092,2
71.0,1.4761904761904763,2
74.0,1.55,2
78.0,1.631578947368421,2
83.0,1.8235294117647058,2
85.0,1.9375,2
90.0,2.066666666666667,2
91.0,2.2142857142857144,2
92.0,2.3846153846153846,2
97.0,2.5833333333333335,2
98.0,2.8181818181818183,2
100.0,3.1,2
102.0,3.4444444444444446,2
103.0,3.875,2
104.0,4.428571428571429,2
107.0,5.166666666666667,2
115.0,6.2,2
118.0,7.75,2
121.0,10.333333333333334,2
126.0,31.0,2
28.0,1.0333333333333334,3
32.0,1.0689655172413792,3
37.0,1.1071428571428572,3
39.0,1.1481481481481481,3
41.0,1.1923076923076923,3
46.0,1.24,3
50.0,1.2916666666666667,3
52.0,1.3478260869565217,3
57.0,1.4090909090909092,3
61.0,1.4761904761904763,3
62.0,1.55,3
63.0,1.631578947368421,3
67.0,1.8235294117647058,3
68.0,2.066666666666667,3
69.0,2.2142857142857144,3
70.0,2.3846153846153846,3
72.0,2.5833333333333335,3
81.0,2.8181818181818183,3
84.0,3.1,3
90.0,3.4444444444444446,3
91.0,3.875,3
96.0,4.428571428571429,3
100.0,5.166666666666667,3
101.0,7.75,3
105.0,10.333333333333334,3
108.0,15.5,3
121.0,31.0,3
28.0,1.0333333333333334,4
38.0,1.0689655172413792,4
41.0,1.1071428571428572,4
49.0,1.1923076923076923,4
53.0,1.24,4
64.0,1.2916666666666667,4
65.0,1.3478260869565217,4
67.0,1.4090909090909092,4
68.0,1.4761904761904763,4
71.0,1.55,4
74.0,1.631578947368421,4
76.0,1.8235294117647058,4
77.0,1.9375,4
79.0,2.066666666666667,4
80.0,2.2142857142857144,4
83.0,2.3846153846153846,4
87.0,2.5833333333333335,4
90.0,2.8181818181818183,4
93.0,3.4444444444444446,4
94.0,4.428571428571429,4
97.0,5.166666666666667,4
101.0,6.2,4
119.0,7.75,4
121.0,10.333333333333334,4
122.0,31.0,4
29.0,1.0333333333333334,5
53.0,1.0689655172413792,5
58.0,1.1071428571428572,5
63.0,1.1481481481481481,5
65.0,1.1923076923076923,5
71.0,1.24,5
75.0,1.4090909090909092,5
80.0,1.4761904761904763,5
