days_over,return_period,subset
0.0,1.0333333333333334,1.0
3.0,6.2,1.0
4.0,10.333333333333334,1.0
8.0,15.5,1.0
17.0,31.0,1.0
0.0,1.0333333333333334,2.0
1.0,5.166666666666667,2.0
3.0,15.5,2.0
7.0,31.0,2.0
0.0,1.0333333333333334,3.0
1.0,6.2,3.0
2.0,7.75,3.0
3.0,10.333333333333334,3.0
5.0,15.5,3.0
7.0,31.0,3.0
0.0,1.0333333333333334,4.0
1.0,4.428571428571429,4.0
2.0,6.2,4.0
4.0,10.333333333333334,4.0
11.0,31.0,4.0
0.0,1.0333333333333334,5.0
1.0,6.2,5.0
2.0,7.75,5.0
3.0,15.5,5.0
4.0,31.0,5.0
0.0,1.0333333333333334,6.0
1.0,10.333333333333334,6.0
4.0,15.5,6.0
8.0,31.0,6.0
0.0,1.0333333333333334,7.0
1.0,3.875,7.0
2.0,6.2,7.0
3.0,10.333333333333334,7.0
5.0,15.5,7.0
9.0,31.0,7.0
0.0,1.0333333333333334,8.0
1.0,3.875,8.0
2.0,6.2,8.0
3.0,10.333333333333334,8.0
4.0,15.5,8.0
6.0,31.0,8.0
0.0,1.0333333333333334,9.0
1.0,10.333333333333334,9.0
5.0,31.0,9.0
0.0,1.0333333333333334,10.0
1.0,6.2,10.0
2.0,10.333333333333334,10.0
5.0,31.0,10.0
0.0,1.0333333333333334,11.0
1.0,15.5,11.0
2.0,31.0,11.0
0.0,1.0333333333333334,12.0
1.0,7.75,12.0
6.0,31.0,12.0
0.0,1.0333333333333334,13.0
1.0,6.2,13.0
2.0,10.333333333333334,13.0
6.0,15.5,13.0
0.0,1.0333333333333334,14.0
1.0,7.75,14.0
13.0,31.0,14.0
0.0,1.0333333333333334,15.0
1.0,3.875,15.0
3.0,7.75,15.0
5.0,10.333333333333334,15.0
6.0,15.5,15.0
7.0,31.0,15.0
0.0,1.0333333333333334,16.0
1.0,4.428571428571429,16.0
2.0,7.75,16.0
3.0,10.333333333333334,16.0
0.0,1.0333333333333334,17.0
1.0,10.333333333333334,17.0
0.0,1.0333333333333334,18.0
1.0,3.875,18.0
2.0,6.2,18.0
3.0,31.0,18.0
0.0,1.0333333333333334,19.0
1.0,5.166666666666667,19.0
2.0,6.2,19.0
3.0,10.333333333333334,19.0
4.0,31.0,19.0
