days_over,return_period,subset
0.0,1.0333333333333334,1.0
1.0,3.875,1.0
2.0,5.166666666666667,1.0
3.0,7.75,1.0
4.0,15.5,1.0
7.0,31.0,1.0
0.0,1.0333333333333334,2.0
1.0,5.166666666666667,2.0
2.0,10.333333333333334,2.0
3.0,15.5,2.0
0.0,1.0333333333333334,3.0
1.0,3.4444444444444446,3.0
2.0,7.75,3.0
4.0,15.5,3.0
7.0,31.0,3.0
0.0,1.0333333333333334,4.0
1.0,3.875,4.0
7.0,31.0,4.0
0.0,1.0333333333333334,5.0
1.0,3.4444444444444446,5.0
2.0,15.5,5.0
0.0,1.0333333333333334,6.0
1.0,2.3846153846153846,6.0
2.0,4.428571428571429,6.0
4.0,10.333333333333334,6.0
7.0,15.5,6.0
0.0,1.0333333333333334,7.0
1.0,3.4444444444444446,7.0
2.0,5.166666666666667,7.0
3.0,7.75,7.0
4.0,15.5,7.0
6.0,31.0,7.0
0.0,1.0333333333333334,8.0
1.0,3.875,8.0
2.0,6.2,8.0
4.0,15.5,8.0
17.0,31.0,8.0
0.0,1.0333333333333334,9.0
1.0,6.2,9.0
2.0,10.333333333333334,9.0
3.0,31.0,9.0
0.0,1.0333333333333334,10.0
1.0,3.1,10.0
2.0,10.333333333333334,10.0
4.0,31.0,10.0
0.0,1.0333333333333334,11.0
1.0,2.8181818181818183,11.0
2.0,5.166666666666667,11.0
3.0,15.5,11.0
0.0,1.0333333333333334,12.0
1.0,2.8181818181818183,12.0
2.0,3.4444444444444446,12.0
3.0,7.75,12.0
4.0,15.5,12.0
9.0,31.0,12.0
0.0,1.0333333333333334,13.0
1.0,2.8181818181818183,13.0
2.0,3.875,13.0
4.0,5.166666666666667,13.0
5.0,7.75,13.0
7.0,15.5,13.0
18.0,31.0,13.0
0.0,1.0333333333333334,14.0
1.0,3.4444444444444446,14.0
2.0,7.75,14.0
3.0,10.333333333333334,14.0
5.0,31.0,14.0
0.0,1.0333333333333334,15.0
1.0,3.1,15.0
2.0,10.333333333333334,15.0
6.0,31.0,15.0
0.0,1.0333333333333334,16.0
1.0,3.4444444444444446,16.0
2.0,7.75,16.0
3.0,10.333333333333334,16.0
4.0,31.0,16.0
0.0,1.0333333333333334,17.0
1.0,2.5833333333333335,17.0
2.0,4.428571428571429,17.0
3.0,7.75,17.0
4.0,15.5,17.0
12.0,31.0,17.0
0.0,1.0333333333333334,18.0
1.0,3.1,18.0
2.0,3.4444444444444446,18.0
3.0,7.75,18.0
4.0,10.333333333333334,18.0
5.0,31.0,18.0
0.0,1.0333333333333334,19.0
1.0,2.8181818181818183,19.0
2.0,3.1,19.0
3.0,7.75,19.0
4.0,10.333333333333334,19.0
5.0,15.5,19.0
9.0,31.0,19.0
0.0,1.0333333333333334,20.0
1.0,2.8181818181818183,20.0
2.0,5.166666666666667,20.0
4.0,7.75,20.0
0.0,1.0333333333333334,21.0
1.0,2.8181818181818183,21.0
2.0,4.428571428571429,21.0
3.0,6.2,21.0
4.0,31.0,21.0
0.0,1.0333333333333334,22.0
1.0,2.8181818181818183,22.0
2.0,5.166666666666667,22.0
3.0,7.75,22.0
5.0,15.5,22.0
6.0,31.0,22.0
0.0,1.0333333333333334,23.0
1.0,3.875,23.0
2.0,5.166666666666667,23.0
3.0,10.333333333333334,23.0
5.0,31.0,23.0
0.0,1.0333333333333334,24.0
1.0,1.9375,24.0
2.0,3.4444444444444446,24.0
3.0,7.75,24.0
5.0,10.333333333333334,24.0
12.0,31.0,24.0
0.0,1.0333333333333334,25.0
1.0,4.428571428571429,25.0
4.0,15.5,25.0
0.0,1.0333333333333334,26.0
1.0,3.875,26.0
3.0,10.333333333333334,26.0
6.0,15.5,26.0
0.0,1.0333333333333334,27.0
1.0,2.8181818181818183,27.0
2.0,5.166666666666667,27.0
3.0,10.333333333333334,27.0
6.0,15.5,27.0
8.0,31.0,27.0
0.0,1.0333333333333334,28.0
1.0,2.8181818181818183,28.0
3.0,6.2,28.0
4.0,10.333333333333334,28.0
8.0,15.5,28.0
9.0,31.0,28.0
0.0,1.0333333333333334,29.0
1.0,2.8181818181818183,29.0
2.0,5.166666666666667,29.0
5.0,10.333333333333334,29.0
8.0,31.0,29.0
0.0,1.0333333333333334,30.0
1.0,6.2,30.0
2.0,15.5,30.0
3.0,31.0,30.0
0.0,1.0333333333333334,31.0
1.0,6.2,31.0
2.0,7.75,31.0
3.0,15.5,31.0
4.0,31.0,31.0
0.0,1.0333333333333334,32.0
1.0,3.875,32.0
3.0,10.333333333333334,32.0
6.0,15.5,32.0
7.0,31.0,32.0
0.0,1.0333333333333334,33.0
1.0,2.3846153846153846,33.0
2.0,3.875,33.0
3.0,5.166666666666667,33.0
4.0,7.75,33.0
5.0,10.333333333333334,33.0
6.0,31.0,33.0
0.0,1.0333333333333334,34.0
1.0,2.8181818181818183,34.0
2.0,6.2,34.0
3.0,7.75,34.0
4.0,15.5,34.0
8.0,31.0,34.0
0.0,1.0333333333333334,35.0
1.0,4.428571428571429,35.0
2.0,5.166666666666667,35.0
3.0,10.333333333333334,35.0
4.0,15.5,35.0
0.0,1.0333333333333334,36.0
1.0,3.1,36.0
2.0,4.428571428571429,36.0
3.0,6.2,36.0
7.0,10.333333333333334,36.0
12.0,15.5,36.0
0.0,1.0333333333333334,37.0
1.0,4.428571428571429,37.0
2.0,7.75,37.0
3.0,15.5,37.0
0.0,1.0333333333333334,38.0
1.0,2.2142857142857144,38.0
2.0,3.875,38.0
3.0,15.5,38.0
7.0,31.0,38.0
0.0,1.0333333333333334,39.0
1.0,2.5833333333333335,39.0
2.0,10.333333333333334,39.0
3.0,31.0,39.0
0.0,1.0333333333333334,40.0
1.0,2.2142857142857144,40.0
2.0,2.8181818181818183,40.0
3.0,5.166666666666667,40.0
0.0,1.0333333333333334,41.0
1.0,3.4444444444444446,41.0
2.0,7.75,41.0
3.0,31.0,41.0
0.0,1.0333333333333334,42.0
1.0,1.9375,42.0
2.0,3.4444444444444446,42.0
4.0,7.75,42.0
5.0,10.333333333333334,42.0
10.0,15.5,42.0
13.0,31.0,42.0
0.0,1.0333333333333334,43.0
1.0,5.166666666666667,43.0
2.0,6.2,43.0
3.0,7.75,43.0
5.0,10.333333333333334,43.0
7.0,31.0,43.0
0.0,1.0333333333333334,44.0
1.0,3.4444444444444446,44.0
2.0,10.333333333333334,44.0
8.0,31.0,44.0
0.0,1.0333333333333334,45.0
1.0,3.4444444444444446,45.0
2.0,10.333333333333334,45.0
6.0,31.0,45.0
0.0,1.0333333333333334,46.0
1.0,4.428571428571429,46.0
2.0,10.333333333333334,46.0
3.0,31.0,46.0
0.0,1.0333333333333334,47.0
1.0,3.4444444444444446,47.0
2.0,6.2,47.0
3.0,15.5,47.0
4.0,31.0,47.0
0.0,1.0333333333333334,48.0
1.0,2.5833333333333335,48.0
2.0,6.2,48.0
6.0,31.0,48.0
0.0,1.0333333333333334,49.0
1.0,3.875,49.0
2.0,10.333333333333334,49.0
5.0,15.5,49.0
16.0,31.0,49.0
0.0,1.0333333333333334,50.0
1.0,2.8181818181818183,50.0
2.0,5.166666666666667,50.0
3.0,10.333333333333334,50.0
6.0,15.5,50.0
12.0,31.0,50.0
0.0,1.0333333333333334,51.0
1.0,3.1,51.0
4.0,10.333333333333334,51.0
13.0,31.0,51.0
0.0,1.0333333333333334,52.0
1.0,6.2,52.0
3.0,15.5,52.0
0.0,1.0333333333333334,53.0
1.0,3.1,53.0
2.0,3.875,53.0
3.0,6.2,53.0
4.0,7.75,53.0
5.0,15.5,53.0
6.0,31.0,53.0
0.0,1.0333333333333334,54.0
1.0,4.428571428571429,54.0
2.0,10.333333333333334,54.0
3.0,15.5,54.0
7.0,31.0,54.0
0.0,1.0333333333333334,55.0
1.0,3.4444444444444446,55.0
2.0,7.75,55.0
3.0,15.5,55.0
4.0,31.0,55.0
0.0,1.0333333333333334,56.0
1.0,4.428571428571429,56.0
2.0,10.333333333333334,56.0
