,days_over,return_period,site
0,0.0,1.00025,1
1,1.0,2.761214630779848,1
2,2.0,4.820481927710843,1
3,3.0,7.799220272904483,1
4,4.0,11.872403560830861,1
5,5.0,17.94170403587444,1
6,6.0,26.496688741721854,1
7,7.0,36.04504504504504,1
8,8.0,47.07058823529412,1
9,9.0,63.507936507936506,1
10,10.0,74.0925925925926,1
11,11.0,100.025,1
12,12.0,148.1851851851852,1
13,13.0,190.52380952380952,1
14,14.0,250.0625,1
15,15.0,266.73333333333335,1
16,17.0,400.1,1
17,18.0,500.125,1
18,19.0,666.8333333333334,1
19,20.0,800.2,1
20,22.0,1333.6666666666667,1
21,24.0,2000.5,1
22,25.0,4001.0,1
23,0.0,1.00025,2
24,1.0,2.7199184228416042,2
25,2.0,4.757431629013079,2
26,3.0,7.606463878326996,2
27,4.0,11.464183381088825,2
28,5.0,16.068273092369477,2
29,6.0,24.24848484848485,2
30,7.0,36.372727272727275,2
31,8.0,45.98850574712644,2
32,9.0,63.507936507936506,2
33,10.0,86.97826086956522,2
34,11.0,114.31428571428572,2
35,12.0,142.89285714285714,2
36,13.0,250.0625,2
37,15.0,363.72727272727275,2
38,16.0,444.55555555555554,2
39,17.0,571.5714285714286,2
40,18.0,666.8333333333334,2
41,20.0,2000.5,2
42,24.0,4001.0,2
43,0.0,1.00025,3
44,1.0,2.926847110460863,3
45,2.0,5.070975918884664,3
46,3.0,7.97011952191235,3
47,4.0,11.630813953488373,3
48,5.0,16.264227642276424,3
49,6.0,22.47752808988764,3
50,7.0,30.082706766917294,3
51,8.0,40.01,3
52,9.0,55.56944444444444,3
53,10.0,75.49056603773585,3
54,11.0,95.26190476190476,3
55,12.0,153.8846153846154,3
56,13.0,235.35294117647058,3
57,14.0,307.7692307692308,3
58,15.0,400.1,3
59,17.0,500.125,3
60,18.0,1000.25,3
61,19.0,1333.6666666666667,3
62,26.0,4001.0,3
63,0.0,1.00025,4
64,1.0,3.3093465674110836,4
65,2.0,5.526243093922652,4
66,3.0,8.335416666666667,4
67,4.0,12.235474006116208,4
68,5.0,16.53305785123967,4
69,6.0,21.863387978142075,4
70,7.0,30.541984732824428,4
71,8.0,42.56382978723404,4
72,9.0,57.15714285714286,4
73,10.0,81.65306122448979,4
74,11.0,111.13888888888889,4
75,12.0,137.9655172413793,4
76,13.0,173.95652173913044,4
77,14.0,266.73333333333335,4
78,15.0,363.72727272727275,4
79,16.0,400.1,4
80,17.0,500.125,4
81,18.0,571.5714285714286,4
82,20.0,800.2,4
83,24.0,1000.25,4
84,31.0,1333.6666666666667,4
85,32.0,2000.5,4
86,37.0,4001.0,4
87,0.0,1.00025,5
88,1.0,2.658471760797342,5
89,2.0,4.964019851116626,5
90,3.0,8.034136546184738,5
91,4.0,12.348765432098766,5
92,5.0,18.69626168224299,5
93,6.0,29.85820895522388,5
94,7.0,43.02150537634409,5
95,8.0,60.621212121212125,5
96,9.0,81.65306122448979,5
97,10.0,105.28947368421052,5
98,11.0,160.04,5
99,12.0,181.86363636363637,5
100,13.0,200.05,5
101,14.0,333.4166666666667,5
102,16.0,363.72727272727275,5
103,18.0,500.125,5
104,19.0,800.2,5
105,21.0,1333.6666666666667,5
106,22.0,2000.5,5
107,24.0,4001.0,5
108,0.0,1.00025,6
109,1.0,2.59300064808814,6
110,2.0,4.7237308146399055,6
111,3.0,7.709055876685935,6
112,4.0,12.425465838509316,6
113,5.0,18.02252252252252,6
114,6.0,26.15032679738562,6
115,7.0,38.84466019417476,6
116,8.0,52.64473684210526,6
117,9.0,75.49056603773585,6
118,10.0,95.26190476190476,6
119,11.0,114.31428571428572,6
120,12.0,173.95652173913044,6
121,13.0,210.57894736842104,6
122,14.0,285.7857142857143,6
123,15.0,307.7692307692308,6
124,16.0,400.1,6
125,17.0,444.55555555555554,6
126,18.0,500.125,6
127,19.0,571.5714285714286,6
128,20.0,666.8333333333334,6
129,21.0,1000.25,6
130,22.0,1333.6666666666667,6
131,23.0,2000.5,6
132,28.0,4001.0,6
133,0.0,1.00025,7
134,1.0,2.510037641154329,7
135,2.0,4.652325581395349,7
136,3.0,7.723938223938224,7
137,4.0,12.124242424242425,7
138,5.0,18.609302325581396,7
139,6.0,26.496688741721854,7
140,7.0,42.11578947368421,7
141,8.0,65.59016393442623,7
142,9.0,85.12765957446808,7
143,10.0,117.67647058823529,7
144,11.0,160.04,7
145,12.0,181.86363636363637,7
146,13.0,285.7857142857143,7
147,15.0,363.72727272727275,7
148,16.0,500.125,7
149,18.0,666.8333333333334,7
150,19.0,1000.25,7
151,21.0,1333.6666666666667,7
152,22.0,4001.0,7
153,0.0,1.00025,8
154,1.0,2.5829567462879277,8
155,2.0,4.5517633674630265,8
156,3.0,7.986027944111776,8
157,4.0,12.66139240506329,8
158,5.0,19.32850241545894,8
159,6.0,29.419117647058822,8
160,7.0,42.11578947368421,8
161,8.0,57.98550724637681,8
162,9.0,85.12765957446808,8
163,10.0,133.36666666666667,8
164,11.0,222.27777777777777,8
165,12.0,266.73333333333335,8
166,13.0,400.1,8
167,14.0,666.8333333333334,8
168,15.0,800.2,8
169,16.0,1000.25,8
170,22.0,2000.5,8
171,25.0,4001.0,8
172,0.0,1.00025,9
173,1.0,2.8396025550035486,9
174,2.0,4.780167264038232,9
175,3.0,7.5206766917293235,9
176,4.0,11.698830409356725,9
177,5.0,16.88185654008439,9
178,6.0,23.674556213017752,9
179,7.0,32.795081967213115,9
180,8.0,40.826530612244895,9
181,9.0,59.71641791044776,9
182,10.0,85.12765957446808,9
183,11.0,111.13888888888889,9
184,12.0,210.57894736842104,9
185,13.0,266.73333333333335,9
186,14.0,307.7692307692308,9
187,15.0,363.72727272727275,9
188,16.0,500.125,9
189,17.0,666.8333333333334,9
190,18.0,800.2,9
191,19.0,1333.6666666666667,9
192,20.0,2000.5,9
193,25.0,4001.0,9
194,0.0,1.00025,10
195,1.0,2.390083632019116,10
196,2.0,4.420994475138121,10
197,3.0,7.5633270321361055,10
198,4.0,11.76764705882353,10
199,5.0,19.14354066985646,10
200,6.0,28.176056338028168,10
201,7.0,39.22549019607843,10
202,8.0,55.56944444444444,10
203,9.0,88.91111111111111,10
204,10.0,153.8846153846154,10
205,11.0,200.05,10
206,12.0,250.0625,10
207,13.0,363.72727272727275,10
208,15.0,571.5714285714286,10
209,16.0,666.8333333333334,10
210,18.0,1000.25,10
211,19.0,1333.6666666666667,10
212,20.0,2000.5,10
213,0.0,1.00025,11
214,1.0,2.209276642738818,11
215,2.0,4.411245865490629,11
216,3.0,7.954274353876739,11
217,4.0,14.088028169014084,11
218,5.0,23.127167630057805,11
219,6.0,41.24742268041237,11
220,7.0,57.15714285714286,11
221,8.0,105.28947368421052,11
222,9.0,210.57894736842104,11
223,10.0,285.7857142857143,11
224,11.0,333.4166666666667,11
225,12.0,444.55555555555554,11
226,13.0,500.125,11
227,15.0,571.5714285714286,11
228,16.0,800.2,11
229,17.0,1000.25,11
230,19.0,4001.0,11
231,0.0,1.00025,12
232,1.0,2.5322784810126584,12
233,2.0,4.826296743063932,12
234,3.0,8.198770491803279,12
235,4.0,13.07516339869281,12
236,5.0,20.105527638190956,12
237,6.0,32.008,12
238,7.0,46.52325581395349,12
239,8.0,66.68333333333334,12
240,9.0,97.58536585365853,12
241,10.0,142.89285714285714,12
242,11.0,210.57894736842104,12
243,12.0,266.73333333333335,12
244,13.0,333.4166666666667,12
245,14.0,400.1,12
246,16.0,500.125,12
247,18.0,800.2,12
248,19.0,1000.25,12
249,21.0,2000.5,12
250,26.0,4001.0,12
251,0.0,1.00025,13
252,1.0,2.755509641873278,13
253,2.0,5.257555847568988,13
254,3.0,8.458773784355179,13
255,4.0,12.99025974025974,13
256,5.0,19.052380952380954,13
257,6.0,27.404109589041095,13
258,7.0,40.41414141414141,13
259,8.0,54.80821917808219,13
260,9.0,80.02,13
261,10.0,105.28947368421052,13
262,11.0,137.9655172413793,13
263,12.0,181.86363636363637,13
264,13.0,222.27777777777777,13
265,14.0,285.7857142857143,13
266,15.0,307.7692307692308,13
267,16.0,400.1,13
268,18.0,444.55555555555554,13
269,19.0,666.8333333333334,13
270,20.0,800.2,13
271,21.0,1333.6666666666667,13
272,24.0,2000.5,13
273,27.0,4001.0,13
274,0.0,1.00025,14
275,1.0,2.53709575142676,14
276,2.0,4.6200923787528865,14
277,3.0,7.938492063492063,14
278,4.0,12.782747603833865,14
279,5.0,20.51794871794872,14
280,6.0,30.082706766917294,14
281,7.0,47.07058823529412,14
282,8.0,67.8135593220339,14
283,9.0,93.04651162790698,14
284,10.0,111.13888888888889,14
285,11.0,137.9655172413793,14
286,12.0,173.95652173913044,14
287,13.0,235.35294117647058,14
288,14.0,250.0625,14
289,15.0,266.73333333333335,14
290,16.0,333.4166666666667,14
291,17.0,363.72727272727275,14
292,18.0,400.1,14
293,19.0,500.125,14
294,20.0,571.5714285714286,14
295,21.0,666.8333333333334,14
296,22.0,800.2,14
297,25.0,2000.5,14
298,0.0,1.00025,15
299,1.0,2.5037546933667083,15
300,2.0,4.577803203661327,15
301,3.0,7.492509363295881,15
302,4.0,12.5423197492163,15
303,5.0,18.96208530805687,15
304,6.0,27.404109589041095,15
305,7.0,41.24742268041237,15
306,8.0,62.515625,15
307,9.0,88.91111111111111,15
308,10.0,111.13888888888889,15
309,11.0,142.89285714285714,15
310,12.0,200.05,15
311,13.0,285.7857142857143,15
312,14.0,400.1,15
313,15.0,444.55555555555554,15
314,16.0,500.125,15
315,17.0,571.5714285714286,15
316,18.0,666.8333333333334,15
317,21.0,800.2,15
318,22.0,1000.25,15
319,23.0,2000.5,15
320,25.0,4001.0,15
321,0.0,1.00025,16
322,1.0,2.500625,16
323,2.0,4.546590909090909,16
324,3.0,7.5206766917293235,16
325,4.0,11.76764705882353,16
326,5.0,17.782222222222224,16
327,6.0,25.32278481012658,16
328,7.0,41.677083333333336,16
329,8.0,57.15714285714286,16
330,9.0,71.44642857142857,16
331,10.0,83.35416666666667,16
332,11.0,117.67647058823529,16
333,12.0,166.70833333333334,16
334,13.0,190.52380952380952,16
335,15.0,266.73333333333335,16
336,16.0,400.1,16
337,17.0,444.55555555555554,16
338,18.0,571.5714285714286,16
339,19.0,666.8333333333334,16
340,20.0,1000.25,16
341,21.0,1333.6666666666667,16
342,22.0,2000.5,16
343,23.0,4001.0,16
344,0.0,1.00025,17
345,1.0,2.5147705845380264,17
346,2.0,4.556947608200455,17
347,3.0,7.5633270321361055,17
348,4.0,12.124242424242425,17
349,5.0,17.32034632034632,17
350,6.0,25.98051948051948,17
351,7.0,38.84466019417476,17
352,8.0,53.346666666666664,17
353,9.0,74.0925925925926,17
354,10.0,108.13513513513513,17
355,11.0,142.89285714285714,17
356,12.0,181.86363636363637,17
357,13.0,235.35294117647058,17
358,14.0,285.7857142857143,17
359,15.0,400.1,17
360,16.0,571.5714285714286,17
361,17.0,800.2,17
362,18.0,1000.25,17
363,20.0,2000.5,17
364,25.0,4001.0,17
365,0.0,1.00025,18
366,1.0,2.57133676092545,18
367,2.0,4.604142692750288,18
368,3.0,7.784046692607004,18
369,4.0,12.051204819277109,18
370,5.0,18.52314814814815,18
371,6.0,25.163522012578618,18
372,7.0,33.621848739495796,18
373,8.0,45.46590909090909,18
374,9.0,61.55384615384615,18
375,10.0,85.12765957446808,18
376,11.0,111.13888888888889,18
377,12.0,153.8846153846154,18
378,13.0,222.27777777777777,18
379,14.0,250.0625,18
380,15.0,307.7692307692308,18
381,16.0,666.8333333333334,18
382,17.0,1333.6666666666667,18
383,20.0,4001.0,18
384,0.0,1.00025,19
385,1.0,2.5696852922286446,19
386,2.0,4.652325581395349,19
387,3.0,7.694230769230769,19
388,4.0,12.425465838509316,19
389,5.0,19.32850241545894,19
390,6.0,27.033783783783782,19
391,7.0,35.4070796460177,19
392,8.0,45.46590909090909,19
393,9.0,62.515625,19
394,10.0,78.45098039215686,19
395,11.0,95.26190476190476,19
396,12.0,148.1851851851852,19
397,13.0,173.95652173913044,19
398,14.0,307.7692307692308,19
399,15.0,400.1,19
400,16.0,571.5714285714286,19
401,18.0,800.2,19
402,32.0,2000.5,19
403,34.0,4001.0,19
404,0.0,1.00025,20
405,1.0,2.579626047711154,20
406,2.0,4.837968561064087,20
407,3.0,8.458773784355179,20
408,4.0,14.602189781021897,20
409,5.0,21.510752688172044,20
410,6.0,32.266129032258064,20
411,7.0,48.792682926829265,20
412,8.0,66.68333333333334,20
413,9.0,95.26190476190476,20
414,10.0,142.89285714285714,20
415,11.0,173.95652173913044,20
416,12.0,307.7692307692308,20
417,13.0,333.4166666666667,20
418,14.0,444.55555555555554,20
419,15.0,571.5714285714286,20
420,18.0,800.2,20
421,19.0,1000.25,20
422,20.0,1333.6666666666667,20
423,28.0,4001.0,20
424,0.0,1.00025,21
425,1.0,2.566388710711995,21
426,2.0,4.855582524271845,21
427,3.0,8.494692144373673,21
428,4.0,14.289285714285715,21
429,5.0,21.16931216931217,21
430,6.0,30.082706766917294,21
431,7.0,47.07058823529412,21
432,8.0,60.621212121212125,21
433,9.0,88.91111111111111,21
434,10.0,142.89285714285714,21
435,11.0,173.95652173913044,21
436,12.0,235.35294117647058,21
437,13.0,363.72727272727275,21
438,16.0,571.5714285714286,21
439,18.0,666.8333333333334,21
440,20.0,1000.25,21
441,21.0,2000.5,21
442,26.0,4001.0,21
443,0.0,1.00025,22
444,1.0,2.483550589695841,22
445,2.0,4.826296743063932,22
446,3.0,8.318087318087318,22
447,4.0,13.74914089347079,22
448,5.0,21.16931216931217,22
449,6.0,28.57857142857143,22
450,7.0,42.56382978723404,22
451,8.0,59.71641791044776,22
452,9.0,88.91111111111111,22
453,10.0,129.06451612903226,22
454,11.0,142.89285714285714,22
455,12.0,200.05,22
456,13.0,250.0625,22
457,14.0,285.7857142857143,22
458,15.0,307.7692307692308,22
459,16.0,333.4166666666667,22
460,17.0,363.72727272727275,22
461,18.0,400.1,22
462,19.0,500.125,22
463,20.0,571.5714285714286,22
464,21.0,666.8333333333334,22
465,22.0,1333.6666666666667,22
466,23.0,2000.5,22
467,25.0,4001.0,22
468,0.0,1.00025,23
469,1.0,2.545165394402036,23
470,2.0,4.774463007159905,23
471,3.0,8.09919028340081,23
472,4.0,12.742038216560509,23
473,5.0,19.517073170731706,23
474,6.0,27.78472222222222,23
475,7.0,40.41414141414141,23
476,8.0,51.96103896103896,23
477,9.0,65.59016393442623,23
478,10.0,95.26190476190476,23
479,11.0,121.24242424242425,23
480,12.0,137.9655172413793,23
481,13.0,181.86363636363637,23
