,days_over,return_period
0,0.0,1.00025
1,1.0,5.691322901849218
2,2.0,10.419270833333334
3,3.0,18.104072398190045
4,4.0,32.008
5,5.0,43.967032967032964
6,6.0,57.15714285714286
7,7.0,75.49056603773585
8,8.0,114.31428571428572
9,9.0,142.89285714285714
10,10.0,181.86363636363637
11,11.0,190.52380952380952
12,12.0,285.7857142857143
13,13.0,333.4166666666667
14,14.0,444.55555555555554
15,15.0,571.5714285714286
16,16.0,666.8333333333334
17,17.0,1000.25
18,20.0,1333.6666666666667
19,24.0,2000.5
20,25.0,4001.0
