,days_over,return_period
0,0.0,1.00025
1,1.0,2.359080188679245
2,2.0,4.172054223149114
3,3.0,6.851027397260274
4,4.0,10.697860962566844
5,5.0,15.447876447876448
6,6.0,23.95808383233533
7,7.0,33.90677966101695
8,8.0,45.98850574712644
9,9.0,62.515625
10,10.0,86.97826086956522
11,11.0,114.31428571428572
12,12.0,142.89285714285714
13,13.0,222.27777777777777
14,14.0,285.7857142857143
15,15.0,307.7692307692308
16,16.0,500.125
17,17.0,666.8333333333334
18,18.0,800.2
19,20.0,1333.6666666666667
20,27.0,4001.0
