,days_over,return_period
0,11.0,9
1,7.0,4
2,1.0,1
5,2.0,1
6,6.0,4
8,14.0,14
10,4.0,2
11,8.0,5
12,0.0,1
13,10.0,8
14,17.0,22
17,12.0,11
23,3.0,2
45,13.0,12
46,9.0,6
55,30.0,151
64,20.0,34
65,26.0,74
78,5.0,3
80,19.0,30
93,46.0,5000
112,18.0,25
114,24.0,58
122,16.0,19
239,31.0,188
366,25.0,69
369,35.0,416
389,23.0,50
518,27.0,88
542,15.0,17
573,21.0,39
579,37.0,833
858,29.0,120
878,28.0,104
981,22.0,45
1703,53.0,10001
2832,40.0,1111
3709,36.0,588
3884,33.0,312
3925,34.0,344
3927,32.0,243
4093,42.0,2000
5486,39.0,1000
7135,43.0,3333
