,days_over,return_period
0,30.0,5
1,22.0,2
2,17.0,2
3,2.0,1
4,36.0,9
5,6.0,1
6,11.0,1
7,4.0,1
8,23.0,3
10,14.0,1
11,24.0,3
12,38.0,11
13,19.0,2
14,13.0,1
15,9.0,1
17,35.0,8
20,10.0,1
22,59.0,50
23,18.0,2
25,32.0,6
26,15.0,1
27,12.0,1
28,26.0,3
31,3.0,1
32,33.0,7
33,25.0,3
41,8.0,1
47,48.0,22
49,20.0,2
50,49.0,23
51,60.0,54
53,7.0,1
60,5.0,1
62,53.0,31
64,57.0,43
66,37.0,10
69,16.0,1
71,39.0,12
78,71.0,500
86,28.0,4
90,1.0,1
93,81.0,1428
101,31.0,5
105,27.0,4
124,40.0,13
145,29.0,4
149,21.0,2
154,46.0,19
229,34.0,7
306,63.0,144
311,41.0,13
331,43.0,16
341,47.0,20
347,64.0,175
355,56.0,39
389,62.0,107
406,42.0,14
459,58.0,46
475,52.0,29
491,51.0,27
543,54.0,34
552,44.0,17
686,50.0,25
750,61.0,82
846,45.0,18
912,55.0,36
928,84.0,2500
940,69.0,400
978,77.0,1000
1088,78.0,1111
1601,68.0,344
1811,83.0,2000
1873,66.0,243
2257,89.0,3333
2582,74.0,714
3132,65.0,204
3835,73.0,555
3878,0.0,1
4256,93.0,0
6017,76.0,833
7287,79.0,1250
8647,67.0,322
8735,90.0,5000
9552,70.0,454
9609,75.0,769
9964,91.0,10001
