,days_over,return_period
0,10.0,3
1,12.0,5
2,3.0,1
3,9.0,3
8,20.0,16
9,14.0,7
10,1.0,1
11,27.0,43
12,5.0,1
13,4.0,1
15,17.0,10
16,11.0,4
17,13.0,5
18,52.0,625
19,26.0,38
27,7.0,2
35,19.0,14
37,6.0,1
40,0.0,1
45,2.0,1
55,15.0,8
64,16.0,9
78,31.0,71
86,21.0,19
101,25.0,33
102,8.0,2
112,39.0,172
157,24.0,29
164,18.0,12
269,29.0,56
336,42.0,217
371,22.0,21
494,28.0,49
504,48.0,454
676,23.0,25
682,30.0,63
725,32.0,86
978,49.0,526
1175,54.0,1000
1217,44.0,285
1262,38.0,166
1266,36.0,138
1537,34.0,108
2292,35.0,123
2396,37.0,158
2418,33.0,99
2445,50.0,588
2538,41.0,208
3012,46.0,370
3907,56.0,2000
4108,45.0,344
4288,40.0,196
4785,43.0,250
5292,62.0,0
5383,55.0,1428
5536,47.0,400
6782,60.0,10001
6928,58.0,5000
7741,57.0,2500
9546,53.0,909
