,days_over,return_period
0,26.0,5
1,20.0,3
2,18.0,2
3,5.0,1
4,40.0,18
5,14.0,1
6,28.0,6
7,12.0,1
8,36.0,12
9,37.0,13
10,6.0,1
12,15.0,2
13,10.0,1
14,8.0,1
15,23.0,4
18,13.0,1
21,21.0,3
22,34.0,10
24,4.0,1
25,30.0,7
27,3.0,1
31,7.0,1
32,33.0,9
33,22.0,3
40,17.0,2
44,11.0,1
46,27.0,5
47,35.0,11
51,29.0,6
53,39.0,16
56,16.0,2
62,9.0,1
64,63.0,156
78,52.0,46
93,70.0,555
98,24.0,4
104,19.0,2
105,25.0,4
116,31.0,7
124,41.0,20
142,2.0,1
174,32.0,8
187,42.0,22
253,44.0,24
263,51.0,42
268,45.0,26
314,53.0,49
331,74.0,1000
345,48.0,33
373,46.0,28
380,38.0,15
403,49.0,36
434,62.0,126
459,47.0,30
511,50.0,38
598,65.0,232
680,67.0,344
684,1.0,1
713,60.0,81
724,58.0,69
819,54.0,53
837,43.0,23
1025,66.0,277
1152,61.0,111
1363,76.0,1428
1489,0.0,1
1576,55.0,55
1803,57.0,65
2201,69.0,500
2416,56.0,60
2605,71.0,588
2651,59.0,76
2695,79.0,2000
3855,80.0,2500
4042,68.0,400
4122,72.0,714
4599,64.0,192
5377,92.0,10001
5884,73.0,909
6017,84.0,3333
6516,90.0,5000
7827,77.0,1666
