ID,lon,lat,country
0,-20.95,-9.79,
1,-20.95,-8.91,
2,-20.95,-8.03,
3,-20.95,-7.15,
4,-20.07,-9.79,
5,-20.07,-8.91,
6,-20.07,-8.03,
7,-20.07,-7.15,
8,-20.07,-6.27,
9,-19.19,-12.43,
10,-19.19,-11.55,
11,-19.19,-10.67,
12,-19.19,-9.79,
13,-19.19,-8.91,
14,-19.19,-8.03,
15,-19.19,-7.15,
16,-19.19,-6.27,
17,-19.19,-5.39,
18,-19.19,-4.51,
19,-18.31,-10.67,
20,-18.31,-9.79,
21,-18.31,-8.91,
22,-18.31,-8.03,
23,-18.31,-7.15,
24,-18.31,-6.27,
25,-18.31,-5.39,
26,-18.31,-4.51,
27,-17.43,-11.55,
28,-17.43,-10.67,
29,-17.43,-9.79,
30,-17.43,-8.91,
31,-17.43,-8.03,
32,-17.43,-7.15,
33,-17.43,-6.27,
34,-17.43,-5.39,
35,-17.43,-4.51,
36,-16.55,-11.55,
37,-16.55,-10.67,
38,-16.55,-9.79,
39,-16.55,-8.91,
40,-16.55,-8.03,
41,-16.55,-7.15,
42,-16.55,-6.27,
43,-16.55,-5.39,
44,-16.55,-4.51,
45,-16.55,4.29,
46,-16.55,5.17,
47,-15.67,-11.55,
48,-15.67,-10.67,
49,-15.67,-9.79,
50,-15.67,-8.91,
51,-15.67,-8.03,
52,-15.67,-7.15,
53,-15.67,-6.27,
54,-15.67,-5.39,
55,-15.67,4.29,
56,-15.67,5.17,
57,-15.67,6.05,
58,-14.79,-10.67,
59,-14.79,-9.79,
60,-14.79,-8.91,
61,-14.79,-8.03,
62,-14.79,-7.15,
63,-14.79,-6.27,
64,-14.79,-5.39,
65,-14.79,-0.11,
66,-14.79,1.65,UK
67,-14.79,4.29,
68,-14.79,5.17,
69,-14.79,6.05,
70,-14.79,6.93,
71,-13.91,-8.91,
72,-13.91,-8.03,
73,-13.91,-7.15,
74,-13.91,-6.27,
75,-13.91,-5.39,
76,-13.91,-1.87,
77,-13.91,-0.99,
78,-13.91,-0.11,
79,-13.91,1.65,UK
80,-13.91,2.53,UK
81,-13.91,3.41,UK
82,-13.91,5.17,
83,-13.91,6.05,
84,-13.91,6.93,UK
85,-13.03,-8.03,
86,-13.03,-7.15,
87,-13.03,-6.27,
88,-13.03,-5.39,
89,-13.03,-4.51,
90,-13.03,-3.63,
91,-13.03,-2.75,
92,-13.03,-1.87,
93,-13.03,-0.99,
94,-13.03,-0.11,
95,-13.03,1.65,UK
96,-13.03,2.53,UK
97,-13.03,3.41,UK
98,-13.03,4.29,UK
99,-13.03,6.05,UK
100,-13.03,6.93,UK
101,-13.03,7.81,UK
102,-13.03,8.69,UK
103,-13.03,9.57,UK
104,-12.15,-9.79,
105,-12.15,-8.03,
106,-12.15,-7.15,
107,-12.15,-6.27,
108,-12.15,-5.39,
109,-12.15,-4.51,
110,-12.15,-3.63,
111,-12.15,-2.75,
112,-12.15,-1.87,
113,-12.15,-0.99,
114,-12.15,-0.11,
115,-12.15,1.65,UK
116,-12.15,2.53,UK
117,-12.15,3.41,UK
118,-12.15,4.29,UK
119,-12.15,5.17,UK
120,-12.15,6.05,UK
121,-12.15,6.93,UK
122,-12.15,7.81,UK
123,-12.15,8.69,UK
124,-12.15,9.57,UK
125,-11.27,-9.79,
126,-11.27,-7.15,
127,-11.27,-6.27,
128,-11.27,-5.39,
129,-11.27,-4.51,
130,-11.27,-3.63,
131,-11.27,-2.75,
132,-11.27,-1.87,
133,-11.27,-0.99,
134,-11.27,-0.11,
135,-11.27,1.65,UK
136,-11.27,2.53,UK
137,-11.27,3.41,UK
138,-11.27,4.29,UK
139,-11.27,5.17,UK
140,-11.27,6.05,UK
141,-11.27,6.93,UK
142,-11.27,7.81,UK
143,-11.27,8.69,UK
144,-11.27,9.57,UK
145,-10.39,-6.27,
146,-10.39,-5.39,
147,-10.39,-4.51,
148,-10.39,-3.63,
149,-10.39,-2.75,
150,-10.39,-1.87,
151,-10.39,-0.99,
152,-10.39,-0.11,
153,-10.39,0.77,
154,-10.39,1.65,UK
155,-10.39,2.53,UK
156,-10.39,3.41,UK
157,-10.39,10.45,UK
158,-9.51,-6.27,
159,-9.51,-5.39,
160,-9.51,-4.51,
161,-9.51,-3.63,
162,-9.51,-2.75,
163,-9.51,-1.87,
164,-9.51,-0.99,
165,-9.51,-0.11,
166,-9.51,0.77,
167,-9.51,10.45,UK
168,-8.63,-6.27,
169,-8.63,-5.39,
170,-8.63,-4.51,
171,-8.63,-3.63,
172,-8.63,-2.75,
173,-8.63,-1.87,
174,-8.63,-0.99,
175,-8.63,-0.11,
176,-8.63,0.77,
177,-8.63,1.65,
178,-7.75,-6.27,
179,-7.75,-5.39,
180,-7.75,-4.51,
181,-7.75,-3.63,
182,-7.75,-2.75,
183,-7.75,-1.87,
184,-7.75,-0.99,
185,-7.75,-0.11,
186,-7.75,0.77,
187,-7.75,1.65,
188,-7.75,2.53,
189,-6.87,-10.67,
190,-6.87,-9.79,
191,-6.87,-8.91,
192,-6.87,-8.03,
193,-6.87,-6.27,
194,-6.87,-5.39,
195,-6.87,-4.51,
196,-6.87,-3.63,
197,-6.87,-2.75,
198,-6.87,-1.87,
199,-6.87,-0.99,
200,-6.87,-0.11,
201,-6.87,0.77,
202,-6.87,1.65,
203,-6.87,2.53,
204,-5.99,-8.03,
205,-5.99,-7.15,
206,-5.99,-6.27,
207,-5.99,-5.39,
208,-5.99,-4.51,
209,-5.99,-3.63,
210,-5.99,-2.75,
211,-5.99,-1.87,
212,-5.99,-0.99,
213,-5.99,-0.11,
214,-5.99,0.77,
215,-5.99,1.65,
216,-5.99,2.53,
217,-5.99,3.41,
218,-5.99,7.81,
219,-5.99,8.69,
220,-5.99,9.57,
221,-5.99,10.45,
222,-5.99,11.33,
223,-5.99,12.21,
224,-5.11,-8.03,
225,-5.11,-7.15,
226,-5.11,-6.27,
227,-5.11,-5.39,
228,-5.11,-4.51,
229,-5.11,-3.63,
230,-5.11,-2.75,
231,-5.11,-1.87,
232,-5.11,-0.99,
233,-5.11,-0.11,
234,-5.11,0.77,
235,-5.11,1.65,
236,-5.11,2.53,
237,-5.11,3.41,
238,-5.11,4.29,
239,-5.11,5.17,
240,-5.11,6.05,
241,-5.11,7.81,
242,-5.11,8.69,
243,-5.11,9.57,
244,-5.11,10.45,
245,-5.11,11.33,
246,-5.11,12.21,
247,-4.23,-12.43,
248,-4.23,-8.91,
249,-4.23,-8.03,
250,-4.23,-7.15,
251,-4.23,-6.27,
252,-4.23,-5.39,
253,-4.23,-4.51,
254,-4.23,-3.63,
255,-4.23,-2.75,
256,-4.23,-1.87,
257,-4.23,-0.99,
258,-4.23,-0.11,
259,-4.23,0.77,
260,-4.23,1.65,
261,-4.23,2.53,
262,-4.23,3.41,
263,-4.23,4.29,
264,-4.23,5.17,
265,-4.23,6.05,
