gauge,month,year,day,pr
1843002,1,1980,1,6.66
1843002,1,1980,2,6.76
1843002,1,1980,3,0.0
1843002,1,1980,4,3.77
1843002,1,1980,5,0.0
1843002,1,1980,6,0.0
1843002,1,1980,7,0.0
1843002,1,1980,8,0.0
1843002,1,1980,9,0.0
1843002,1,1980,10,0.0
1843002,1,1980,11,10.07
1843002,1,1980,12,50.53
1843002,1,1980,13,24.91
1843002,1,1980,14,49.67
1843002,1,1980,15,37.51
1843002,1,1980,16,25.87
1843002,1,1980,17,8.9
1843002,1,1980,18,3.56
1843002,1,1980,19,23.63
1843002,1,1980,20,0.0
1843002,1,1980,21,0.0
1843002,1,1980,22,0.0
1843002,1,1980,23,0.27
1843002,1,1980,24,0.27
1843002,1,1980,25,17.65
1843002,1,1980,26,3.35
1843002,1,1980,27,12.31
1843002,1,1980,28,21.6
1843002,1,1980,29,0.0
1843002,1,1980,30,13.17
1843002,1,1980,31,0.0
1843002,2,1980,1,0.0
1843002,2,1980,2,4.71
1843002,2,1980,3,4.6
1843002,2,1980,4,6.05
1843002,2,1980,5,0.0
1843002,2,1980,6,0.0
1843002,2,1980,7,0.0
1843002,2,1980,8,0.0
1843002,2,1980,9,0.0
1843002,2,1980,10,11.53
1843002,2,1980,11,0.0
1843002,2,1980,12,0.0
1843002,2,1980,13,0.0
1843002,2,1980,14,18.12
1843002,2,1980,15,0.0
1843002,2,1980,16,0.0
1843002,2,1980,17,14.54
1843002,2,1980,18,9.41
1843002,2,1980,19,105.02
1843002,2,1980,20,0.0
1843002,2,1980,21,0.0
1843002,2,1980,22,2.26
1843002,2,1980,23,2.48
1843002,2,1980,24,0.0
1843002,2,1980,25,0.0
1843002,2,1980,26,0.0
1843002,2,1980,27,0.0
1843002,2,1980,28,0.0
1843002,2,1980,29,0.0
1843002,3,1980,1,0.0
1843002,3,1980,2,0.0
1843002,3,1980,3,0.0
1843002,3,1980,4,0.0
1843002,3,1980,5,0.0
1843002,3,1980,6,0.0
1843002,3,1980,7,0.0
1843002,3,1980,8,0.0
1843002,3,1980,9,0.0
1843002,3,1980,10,0.0
1843002,3,1980,11,0.0
1843002,3,1980,12,0.0
1843002,3,1980,13,0.0
1843002,3,1980,14,0.0
1843002,3,1980,15,0.0
1843002,3,1980,16,0.0
1843002,3,1980,17,0.0
1843002,3,1980,18,0.0
1843002,3,1980,19,0.0
1843002,3,1980,20,0.0
1843002,3,1980,21,0.0
1843002,3,1980,22,0.0
1843002,3,1980,23,0.0
1843002,3,1980,24,0.0
1843002,3,1980,25,0.0
1843002,3,1980,26,0.0
1843002,3,1980,27,0.0
1843002,3,1980,28,0.0
1843002,3,1980,29,0.0
1843002,3,1980,30,0.0
1843002,3,1980,31,0.0
1843002,4,1980,1,4.13
1843002,4,1980,2,3.33
1843002,4,1980,3,9.34
1843002,4,1980,4,0.0
1843002,4,1980,5,0.0
1843002,4,1980,6,11.55
1843002,4,1980,7,7.44
1843002,4,1980,8,23.47
1843002,4,1980,9,6.14
1843002,4,1980,10,9.14
1843002,4,1980,11,24.57
1843002,4,1980,12,0.0
1843002,4,1980,13,37.5
1843002,4,1980,14,19.36
1843002,4,1980,15,0.0
1843002,4,1980,16,3.23
1843002,4,1980,17,0.0
1843002,4,1980,18,7.34
1843002,4,1980,19,0.0
1843002,4,1980,20,0.0
1843002,4,1980,21,0.0
1843002,4,1980,22,0.0
1843002,4,1980,23,0.0
1843002,4,1980,24,0.0
1843002,4,1980,25,0.0
1843002,4,1980,26,0.0
1843002,4,1980,27,0.0
1843002,4,1980,28,0.0
1843002,4,1980,29,0.0
1843002,4,1980,30,0.0
1843002,5,1980,1,0.0
1843002,5,1980,2,0.0
1843002,5,1980,3,0.0
1843002,5,1980,4,0.0
1843002,5,1980,5,0.0
1843002,5,1980,6,0.0
1843002,5,1980,7,0.0
1843002,5,1980,8,0.0
1843002,5,1980,9,0.0
1843002,5,1980,10,0.0
1843002,5,1980,11,0.0
1843002,5,1980,12,0.0
1843002,5,1980,13,0.0
1843002,5,1980,14,0.72
1843002,5,1980,15,0.0
1843002,5,1980,16,0.0
1843002,5,1980,17,0.0
1843002,5,1980,18,0.0
1843002,5,1980,19,0.0
1843002,5,1980,20,0.0
1843002,5,1980,21,0.0
1843002,5,1980,22,0.0
1843002,5,1980,23,0.0
1843002,5,1980,24,0.0
1843002,5,1980,25,0.0
1843002,5,1980,26,0.0
1843002,5,1980,27,0.0
1843002,5,1980,28,0.0
1843002,5,1980,29,0.0
1843002,5,1980,30,0.0
1843002,5,1980,31,0.0
1843002,6,1980,1,0.0
1843002,6,1980,2,0.0
1843002,6,1980,3,0.0
1843002,6,1980,4,0.0
1843002,6,1980,5,0.0
1843002,6,1980,6,0.0
1843002,6,1980,7,0.0
1843002,6,1980,8,0.0
1843002,6,1980,9,0.0
1843002,6,1980,10,0.0
1843002,6,1980,11,0.0
1843002,6,1980,12,0.0
1843002,6,1980,13,0.0
1843002,6,1980,14,0.0
1843002,6,1980,15,0.0
1843002,6,1980,16,0.0
1843002,6,1980,17,0.0
1843002,6,1980,18,0.0
1843002,6,1980,19,0.0
1843002,6,1980,20,0.0
1843002,6,1980,21,0.0
1843002,6,1980,22,0.0
1843002,6,1980,23,0.0
1843002,6,1980,24,0.0
1843002,6,1980,25,0.0
1843002,6,1980,26,0.0
1843002,6,1980,27,9.49
1843002,6,1980,28,0.0
1843002,6,1980,29,0.0
1843002,6,1980,30,0.0
1843002,7,1980,1,0.0
1843002,7,1980,2,0.0
1843002,7,1980,3,0.0
1843002,7,1980,4,0.0
1843002,7,1980,5,0.0
1843002,7,1980,6,0.0
1843002,7,1980,7,0.0
1843002,7,1980,8,0.0
1843002,7,1980,9,0.0
1843002,7,1980,10,0.0
1843002,7,1980,11,0.0
1843002,7,1980,12,0.0
1843002,7,1980,13,0.0
1843002,7,1980,14,0.0
1843002,7,1980,15,0.0
1843002,7,1980,16,0.0
1843002,7,1980,17,0.0
1843002,7,1980,18,0.0
1843002,7,1980,19,0.0
1843002,7,1980,20,0.0
