gauge,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,month,year,total_pr_tgt,num_days_pr,total_pr_adj,total_pr_diff,num_days_pr_adj,pr_add_per_day,total_pr_readj,num_days_pr_readj,total_pr_diff_again,,
1843002,01/01/1980,6.57,6.68,0,3.69,0,0,0,0,0,0,9.99,50.44,24.82,49.59,37.42,25.78,8.81,3.47,23.54,0,0,0,0.99,0.99,17.57,3.26,12.23,21.52,0,13.08,0,1,1980,320.4563414,19,310.9563414,9.5,17,0.558823529,320.44,17,0.02,,3.1
1843002,01/02/1980,0,4.71,4.6,6.05,0,0,0,0,0,11.53,0,0,0,18.12,0,0,14.54,9.41,105.02,0,0,2.26,2.48,0,0,0,0,0,0,,,2,1980,178.724693,10,173.5012871,5.223405866,10,0.522340587,178.72,10,0,,
1843002,01/03/1980,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1980,1.824866984,1,0.513814991,1.311051993,0,inf,0.51,0,1.31,,
1843002,01/04/1980,4.13,3.33,9.34,0,0,11.55,7.44,23.47,6.14,9.14,24.57,0,37.5,19.36,0,3.23,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0,,4,1980,166.5307547,13,158.4275706,8.103184161,13,0.623321859,166.54,13,-0.01,,
1843002,01/05/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1980,2.216923104,1,1.439807716,0.777115388,1,0.777115388,2.22,1,0,,
1843002,01/06/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.49,0,0,0,,6,1980,9.489517576,1,8.895561957,0.59395562,1,0.59395562,9.49,1,0,,
1843002,01/07/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,7,1980,0.96305117,0,0.46305117,0.5,0,inf,0.46,0,0.5,,
1843002,01/08/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1980,0,0,0,0,0,,0,0,0,,
1843002,01/09/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,5.65,0,0,0,0,0,0,19.63,0,0,0,0,,9,1980,35.83969635,3,34.25933828,1.580358064,3,0.526786021,35.83,3,0.01,,
1843002,01/10/1980,0,0,0,0,0,0,0,0,0,0,0,7.54,11.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1980,19.23317369,2,18.23317369,1,2,0.5,19.23,2,0,,
1843002,01/11/1980,1.99,2.17,0,0,0,0,0,0,7.57,0,0,38.38,25.63,1.99,0,0,0,9.8,0,24.51,0,0,0,0.62,13.15,28.05,0,0,0,0,,11,1980,153.847509,11,147.6029355,6.244573547,10,0.624457355,153.86,10,-0.01,,
1843002,01/12/1980,2.43,34.02,7.1,3.03,10.97,7.99,71.76,0,16.93,2.23,21,0,2.43,5.01,2.03,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,4.32,5.01,12,1980,197.1597736,16,188.961124,8.198649646,15,0.546576643,197.15,15,0.01,,
1843002,01/01/1981,44.92,27.09,0,2.22,0,0,0,0,0,48.34,13.22,10.98,4.78,18.23,0,0,0,0,0,0,0,23.79,4.78,4.78,0,0.78,4.46,4.36,0,0,0,1,1981,212.7479974,14,205.1075118,7.640485692,13,0.587729669,212.73,13,0.02,,
1843002,01/02/1981,30.27,0,0,0,0,0,0,0,0,0,8.94,5.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,1981,45.12798497,3,43.62798497,1.5,3,0.5,45.13,3,0,,
