gauge,month,year,day,pr,wet_marker
1943003,1,1980,1,0.78,1
1943003,1,1980,2,38.41,0
1943003,1,1980,3,10.97,0
1943003,1,1980,4,0.0,1
1943003,1,1980,5,0.0,1
1943003,1,1980,6,0.0,1
1943003,1,1980,7,0.0,1
1943003,1,1980,8,0.0,1
1943003,1,1980,9,0.0,1
1943003,1,1980,10,0.0,1
1943003,1,1980,11,0.0,1
1943003,1,1980,12,20.69,0
1943003,1,1980,13,24.53,0
1943003,1,1980,14,0.0,1
1943003,1,1980,15,6.7,0
1943003,1,1980,16,31.36,0
1943003,1,1980,17,21.75,0
1943003,1,1980,18,3.93,0
1943003,1,1980,19,34.35,0
1943003,1,1980,20,0.0,1
1943003,1,1980,21,13.0,0
1943003,1,1980,22,59.22,0
1943003,1,1980,23,35.85,0
1943003,1,1980,24,16.52,0
1943003,1,1980,25,0.67,1
1943003,1,1980,26,17.27,0
1943003,1,1980,27,17.49,0
1943003,1,1980,28,59.01,0
1943003,1,1980,29,3.93,0
1943003,1,1980,30,17.7,0
1943003,1,1980,31,0.0,1
1943003,2,1980,1,0.0,1
1943003,2,1980,2,4.88,0
1943003,2,1980,3,7.9,0
1943003,2,1980,4,4.77,0
1943003,2,1980,5,0.0,1
1943003,2,1980,6,0.0,1
1943003,2,1980,7,0.0,1
1943003,2,1980,8,0.0,1
1943003,2,1980,9,0.0,1
1943003,2,1980,10,0.54,1
1943003,2,1980,11,0.0,1
1943003,2,1980,12,0.0,1
1943003,2,1980,13,0.0,1
1943003,2,1980,14,41.52,0
1943003,2,1980,15,0.0,1
1943003,2,1980,16,13.48,0
1943003,2,1980,17,28.34,0
1943003,2,1980,18,17.61,0
1943003,2,1980,19,18.95,0
1943003,2,1980,20,0.0,1
1943003,2,1980,21,0.0,1
1943003,2,1980,22,23.65,0
1943003,2,1980,23,0.0,1
1943003,2,1980,24,0.0,1
1943003,2,1980,25,0.0,1
1943003,2,1980,26,0.0,1
1943003,2,1980,27,0.0,1
1943003,2,1980,28,0.0,1
1943003,2,1980,29,0.0,1
1943003,3,1980,1,4.46,0
1943003,3,1980,2,0.0,1
1943003,3,1980,3,0.0,1
1943003,3,1980,4,0.0,1
