gauge,month,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,month,year
1943003,1,1980,1.97,38.27,10.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,20.55,24.39,0.0,6.56,31.22,21.61,3.79,34.21,0.0,12.86,59.08,35.71,16.38,1.87,17.13,17.34,58.87,3.79,17.56,0.0,1,1980
1943003,2,1980,0.0,4.75,7.76,4.64,0.0,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,41.39,0.0,13.35,28.2,17.48,18.82,0.0,0.0,23.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2,1980
1943003,3,1980,4.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1980
1943003,4,1980,2.58,0.0,14.8,5.39,0.0,0.0,15.21,39.55,0.0,19.01,0.0,0.0,8.59,60.29,15.0,14.0,0.0,3.38,0.0,0.0,5.79,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,,4,1980
1943003,5,1980,0.0,0.0,2.47,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1980
1943003,6,1980,0.0,0.25,0.0,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.42,0.0,0.0,0.0,,6,1980
1943003,7,1980,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1980
1943003,8,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,8,1980
1943003,9,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.0,0.0,11.81,0.0,0.0,1.69,0.0,0.0,0.0,4.02,0.0,0.0,0.0,0.0,,9,1980
1943003,10,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.59,6.55,13.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1980
