index,gauge,month,year,day,pr,wet_marker
0,1943025,1,1980,1,38.0,1
228,1943025,1,1980,2,1.2,1
456,1943025,1,1980,3,0.0,0
684,1943025,1,1980,4,0.0,0
912,1943025,1,1980,5,0.0,0
1140,1943025,1,1980,6,0.0,0
1368,1943025,1,1980,7,0.0,0
1596,1943025,1,1980,8,0.4,0
1824,1943025,1,1980,9,0.0,0
2052,1943025,1,1980,10,1.2,1
2280,1943025,1,1980,11,28.0,1
2508,1943025,1,1980,12,27.0,1
2736,1943025,1,1980,13,30.0,1
2964,1943025,1,1980,14,21.0,1
3192,1943025,1,1980,15,29.0,1
3420,1943025,1,1980,16,35.0,1
3648,1943025,1,1980,17,42.0,1
3876,1943025,1,1980,18,51.0,1
4104,1943025,1,1980,19,9.0,1
4332,1943025,1,1980,20,14.0,1
4560,1943025,1,1980,21,58.0,1
4788,1943025,1,1980,22,4.0,1
5016,1943025,1,1980,23,26.2,1
5244,1943025,1,1980,24,0.3,0
5472,1943025,1,1980,25,40.0,1
5700,1943025,1,1980,26,6.2,1
5928,1943025,1,1980,27,20.0,1
6156,1943025,1,1980,28,13.0,1
6384,1943025,1,1980,29,15.0,1
6612,1943025,1,1980,30,0.0,0
6840,1943025,1,1980,31,0.0,0
1,1943025,2,1980,1,46.0,1
229,1943025,2,1980,2,37.0,1
457,1943025,2,1980,3,3.2,1
685,1943025,2,1980,4,0.0,0
913,1943025,2,1980,5,0.0,0
1141,1943025,2,1980,6,0.0,0
1369,1943025,2,1980,7,0.0,0
1597,1943025,2,1980,8,0.0,0
1825,1943025,2,1980,9,8.1,1
2053,1943025,2,1980,10,0.0,0
2281,1943025,2,1980,11,0.0,0
2509,1943025,2,1980,12,0.0,0
2737,1943025,2,1980,13,6.0,1
2965,1943025,2,1980,14,3.0,1
3193,1943025,2,1980,15,0.0,0
3421,1943025,2,1980,16,0.0,0
3649,1943025,2,1980,17,11.2,1
3877,1943025,2,1980,18,51.7,1
4105,1943025,2,1980,19,30.5,1
4333,1943025,2,1980,20,0.0,0
4561,1943025,2,1980,21,0.0,0
4789,1943025,2,1980,22,11.0,1
5017,1943025,2,1980,23,3.5,1
5245,1943025,2,1980,24,0.0,0
5473,1943025,2,1980,25,0.0,0
5701,1943025,2,1980,26,0.0,0
5929,1943025,2,1980,27,0.0,0
6157,1943025,2,1980,28,0.0,0
6385,1943025,2,1980,29,0.0,0
2,1943025,3,1980,1,2.5,1
230,1943025,3,1980,2,0.0,0
458,1943025,3,1980,3,0.2,0
686,1943025,3,1980,4,0.0,0
914,1943025,3,1980,5,1.5,1
1142,1943025,3,1980,6,0.0,0
1370,1943025,3,1980,7,0.0,0
1598,1943025,3,1980,8,0.0,0
1826,1943025,3,1980,9,0.0,0
2054,1943025,3,1980,10,0.0,0
2282,1943025,3,1980,11,0.0,0
2510,1943025,3,1980,12,0.0,0
2738,1943025,3,1980,13,8.3,1
2966,1943025,3,1980,14,3.3,1
3194,1943025,3,1980,15,27.0,1
3422,1943025,3,1980,16,0.0,0
3650,1943025,3,1980,17,0.3,0
3878,1943025,3,1980,18,3.4,1
4106,1943025,3,1980,19,0.0,0
4334,1943025,3,1980,20,0.0,0
4562,1943025,3,1980,21,0.0,0
4790,1943025,3,1980,22,0.0,0
5018,1943025,3,1980,23,0.0,0
5246,1943025,3,1980,24,0.0,0
5474,1943025,3,1980,25,0.0,0
5702,1943025,3,1980,26,0.0,0
5930,1943025,3,1980,27,0.0,0
6158,1943025,3,1980,28,0.0,0
6386,1943025,3,1980,29,0.0,0
6614,1943025,3,1980,30,0.0,0
6842,1943025,3,1980,31,0.0,0
3,1943025,4,1980,1,5.0,1
231,1943025,4,1980,2,0.0,0
459,1943025,4,1980,3,15.0,1
687,1943025,4,1980,4,0.0,0
915,1943025,4,1980,5,0.0,0
1143,1943025,4,1980,6,2.4,1
1371,1943025,4,1980,7,13.0,1
1599,1943025,4,1980,8,75.8,1
1827,1943025,4,1980,9,2.5,1
2055,1943025,4,1980,10,20.0,1
2283,1943025,4,1980,11,0.0,0
2511,1943025,4,1980,12,1.5,1
2739,1943025,4,1980,13,12.0,1
2967,1943025,4,1980,14,1.4,1
3195,1943025,4,1980,15,24.4,1
3423,1943025,4,1980,16,1.5,1
3651,1943025,4,1980,17,1.2,1
3879,1943025,4,1980,18,1.2,1
4107,1943025,4,1980,19,0.0,0
4335,1943025,4,1980,20,0.0,0
4563,1943025,4,1980,21,1.0,1
4791,1943025,4,1980,22,0.0,0
5019,1943025,4,1980,23,0.0,0
5247,1943025,4,1980,24,0.0,0
5475,1943025,4,1980,25,0.0,0
5703,1943025,4,1980,26,2.1,1
5931,1943025,4,1980,27,0.0,0
6159,1943025,4,1980,28,0.1,0
6387,1943025,4,1980,29,0.0,0
6615,1943025,4,1980,30,0.0,0
4,1943025,5,1980,1,0.0,0
232,1943025,5,1980,2,0.0,0
460,1943025,5,1980,3,0.3,0
688,1943025,5,1980,4,25.0,1
916,1943025,5,1980,5,0.0,0
1144,1943025,5,1980,6,0.0,0
1372,1943025,5,1980,7,0.0,0
1600,1943025,5,1980,8,0.0,0
1828,1943025,5,1980,9,0.0,0
2056,1943025,5,1980,10,0.0,0
2284,1943025,5,1980,11,0.0,0
2512,1943025,5,1980,12,0.0,0
2740,1943025,5,1980,13,0.0,0
2968,1943025,5,1980,14,1.0,1
3196,1943025,5,1980,15,1.0,1
3424,1943025,5,1980,16,0.9,0
3652,1943025,5,1980,17,0.0,0
3880,1943025,5,1980,18,0.0,0
4108,1943025,5,1980,19,2.4,1
4336,1943025,5,1980,20,0.0,0
4564,1943025,5,1980,21,0.0,0
4792,1943025,5,1980,22,0.0,0
5020,1943025,5,1980,23,0.0,0
5248,1943025,5,1980,24,0.0,0
5476,1943025,5,1980,25,0.0,0
5704,1943025,5,1980,26,0.0,0
5932,1943025,5,1980,27,0.0,0
6160,1943025,5,1980,28,0.0,0
6388,1943025,5,1980,29,0.0,0
6616,1943025,5,1980,30,0.0,0
6844,1943025,5,1980,31,0.0,0
5,1943025,6,1980,1,4.0,1
233,1943025,6,1980,2,5.5,1
461,1943025,6,1980,3,0.0,0
689,1943025,6,1980,4,2.0,1
917,1943025,6,1980,5,5.8,1
1145,1943025,6,1980,6,0.0,0
1373,1943025,6,1980,7,0.0,0
1601,1943025,6,1980,8,0.0,0
