gauge,month,year,day,pr,wet_marker
1943025,1,1980,1,40.73,0
1943025,1,1980,2,0.06,1
1943025,1,1980,3,0.0,1
1943025,1,1980,4,0.0,1
1943025,1,1980,5,0.0,1
1943025,1,1980,6,0.0,1
1943025,1,1980,7,0.0,1
1943025,1,1980,8,0.0,1
1943025,1,1980,9,0.0,1
1943025,1,1980,10,0.06,1
1943025,1,1980,11,30.06,0
1943025,1,1980,12,28.99,0
1943025,1,1980,13,32.19,0
1943025,1,1980,14,22.58,0
1943025,1,1980,15,31.12,0
1943025,1,1980,16,37.53,0
1943025,1,1980,17,45.0,0
1943025,1,1980,18,54.61,0
1943025,1,1980,19,9.78,0
1943025,1,1980,20,15.11,0
1943025,1,1980,21,62.08,0
1943025,1,1980,22,4.44,0
1943025,1,1980,23,28.14,0
1943025,1,1980,24,0.0,1
1943025,1,1980,25,42.87,0
1943025,1,1980,26,6.79,0
1943025,1,1980,27,21.52,0
1943025,1,1980,28,14.04,0
1943025,1,1980,29,16.18,0
1943025,1,1980,30,0.0,1
1943025,1,1980,31,0.0,1
1943025,2,1980,1,51.38,0
1943025,2,1980,2,41.33,0
1943025,2,1980,3,3.57,0
1943025,2,1980,4,0.0,1
1943025,2,1980,5,0.0,1
1943025,2,1980,6,0.0,1
1943025,2,1980,7,0.0,1
1943025,2,1980,8,0.0,1
1943025,2,1980,9,9.05,0
1943025,2,1980,10,0.0,1
1943025,2,1980,11,0.0,1
1943025,2,1980,12,0.0,1
1943025,2,1980,13,6.7,0
1943025,2,1980,14,3.35,0
1943025,2,1980,15,0.0,1
1943025,2,1980,16,0.0,1
1943025,2,1980,17,12.51,0
1943025,2,1980,18,57.75,0
1943025,2,1980,19,34.07,0
1943025,2,1980,20,0.0,1
1943025,2,1980,21,0.0,1
1943025,2,1980,22,12.29,0
1943025,2,1980,23,3.91,0
1943025,2,1980,24,0.0,1
1943025,2,1980,25,0.0,1
1943025,2,1980,26,0.0,1
1943025,2,1980,27,0.0,1
1943025,2,1980,28,0.0,1
1943025,2,1980,29,0.0,1
1943025,3,1980,1,2.88,0
1943025,3,1980,2,0.0,1
1943025,3,1980,3,0.0,1
1943025,3,1980,4,0.0,1
1943025,3,1980,5,0.3,1
1943025,3,1980,6,0.0,1
1943025,3,1980,7,0.0,1
1943025,3,1980,8,0.0,1
1943025,3,1980,9,0.0,1
1943025,3,1980,10,0.0,1
1943025,3,1980,11,0.0,1
1943025,3,1980,12,0.0,1
1943025,3,1980,13,8.76,0
1943025,3,1980,14,3.69,0
1943025,3,1980,15,27.72,0
1943025,3,1980,16,0.0,1
1943025,3,1980,17,0.0,1
1943025,3,1980,18,3.79,0
1943025,3,1980,19,0.0,1
1943025,3,1980,20,0.0,1
1943025,3,1980,21,0.0,1
1943025,3,1980,22,0.0,1
1943025,3,1980,23,0.0,1
1943025,3,1980,24,0.0,1
1943025,3,1980,25,0.0,1
1943025,3,1980,26,0.0,1
1943025,3,1980,27,0.0,1
1943025,3,1980,28,0.0,1
1943025,3,1980,29,0.0,1
1943025,3,1980,30,0.0,1
1943025,3,1980,31,0.0,1
1943025,4,1980,1,5.94,0
1943025,4,1980,2,0.0,1
1943025,4,1980,3,15.96,0
1943025,4,1980,4,0.0,1
1943025,4,1980,5,0.0,1
1943025,4,1980,6,3.34,0
1943025,4,1980,7,13.96,0
1943025,4,1980,8,76.88,0
1943025,4,1980,9,3.44,0
1943025,4,1980,10,20.97,0
1943025,4,1980,11,0.0,1
1943025,4,1980,12,0.28,1
1943025,4,1980,13,12.96,0
1943025,4,1980,14,0.18,1
1943025,4,1980,15,25.38,0
1943025,4,1980,16,0.28,1
1943025,4,1980,17,0.0,1
1943025,4,1980,18,0.0,1
1943025,4,1980,19,0.0,1
1943025,4,1980,20,0.0,1
1943025,4,1980,21,0.0,1
1943025,4,1980,22,0.0,1
1943025,4,1980,23,0.0,1
1943025,4,1980,24,0.0,1
1943025,4,1980,25,0.0,1
1943025,4,1980,26,0.88,1
1943025,4,1980,27,0.0,1
1943025,4,1980,28,0.0,1
1943025,4,1980,29,0.0,1
1943025,4,1980,30,0.0,1
1943025,5,1980,1,0.0,1
1943025,5,1980,2,0.0,1
1943025,5,1980,3,0.0,1
1943025,5,1980,4,27.27,0
1943025,5,1980,5,0.0,1
1943025,5,1980,6,0.0,1
1943025,5,1980,7,0.0,1
1943025,5,1980,8,0.0,1
1943025,5,1980,9,0.0,1
1943025,5,1980,10,0.0,1
1943025,5,1980,11,0.0,1
1943025,5,1980,12,0.0,1
1943025,5,1980,13,0.0,1
1943025,5,1980,14,0.0,1
1943025,5,1980,15,0.0,1
1943025,5,1980,16,0.0,1
1943025,5,1980,17,0.0,1
1943025,5,1980,18,0.0,1
1943025,5,1980,19,1.0,1
1943025,5,1980,20,0.0,1
1943025,5,1980,21,0.0,1
1943025,5,1980,22,0.0,1
1943025,5,1980,23,0.0,1
1943025,5,1980,24,0.0,1
1943025,5,1980,25,0.0,1
1943025,5,1980,26,0.0,1
1943025,5,1980,27,0.0,1
1943025,5,1980,28,0.0,1
1943025,5,1980,29,0.0,1
1943025,5,1980,30,0.0,1
1943025,5,1980,31,0.0,1
1943025,6,1980,1,4.32,0
1943025,6,1980,2,5.73,0
1943025,6,1980,3,0.0,1
1943025,6,1980,4,0.66,1
1943025,6,1980,5,6.01,0
1943025,6,1980,6,0.0,1
1943025,6,1980,7,0.0,1
1943025,6,1980,8,0.0,1
1943025,6,1980,9,0.0,1
1943025,6,1980,10,0.0,1
1943025,6,1980,11,0.0,1
1943025,6,1980,12,0.0,1
1943025,6,1980,13,0.0,1
1943025,6,1980,14,0.0,1
1943025,6,1980,15,0.0,1
1943025,6,1980,16,0.0,1
1943025,6,1980,17,0.0,1
1943025,6,1980,18,0.0,1
1943025,6,1980,19,0.0,1
1943025,6,1980,20,0.0,1
1943025,6,1980,21,0.0,1
1943025,6,1980,22,0.0,1
1943025,6,1980,23,4.32,0
1943025,6,1980,24,0.0,1
1943025,6,1980,25,0.0,1
1943025,6,1980,26,0.85,1
1943025,6,1980,27,20.29,0
1943025,6,1980,28,0.0,1
1943025,6,1980,29,0.0,1
1943025,6,1980,30,0.0,1
1943025,7,1980,1,0.0,1
1943025,7,1980,2,0.0,1
1943025,7,1980,3,3.27,0
1943025,7,1980,4,0.0,1
1943025,7,1980,5,0.0,1
1943025,7,1980,6,0.0,1
1943025,7,1980,7,0.0,1
1943025,7,1980,8,0.0,1
1943025,7,1980,9,0.0,1
1943025,7,1980,10,0.0,1
1943025,7,1980,11,0.0,1
1943025,7,1980,12,0.0,1
1943025,7,1980,13,0.0,1
1943025,7,1980,14,0.0,1
1943025,7,1980,15,0.0,1
1943025,7,1980,16,0.0,1
1943025,7,1980,17,0.0,1
1943025,7,1980,18,0.0,1
1943025,7,1980,19,0.0,1
1943025,7,1980,20,0.0,1
1943025,7,1980,21,0.0,1
1943025,7,1980,22,0.0,1
1943025,7,1980,23,0.0,1
1943025,7,1980,24,14.45,0
1943025,7,1980,25,0.0,1
1943025,7,1980,26,0.0,1
1943025,7,1980,27,0.0,1
1943025,7,1980,28,0.0,1
1943025,7,1980,29,0.0,1
1943025,7,1980,30,0.0,1
1943025,7,1980,31,0.0,1
1943025,8,1980,1,0.0,1
1943025,8,1980,2,0.0,1
1943025,8,1980,3,0.0,1
1943025,8,1980,4,0.0,1
1943025,8,1980,5,0.0,1
1943025,8,1980,6,0.0,1
1943025,8,1980,7,0.0,1
1943025,8,1980,8,0.0,1
1943025,8,1980,9,0.0,1
1943025,8,1980,10,0.0,1
1943025,8,1980,11,0.0,1
1943025,8,1980,12,0.0,1
1943025,8,1980,13,0.0,1
1943025,8,1980,14,0.0,1
1943025,8,1980,15,0.0,1
1943025,8,1980,16,0.0,1
1943025,8,1980,17,0.0,1
1943025,8,1980,18,0.0,1
1943025,8,1980,19,0.0,1
1943025,8,1980,20,0.0,1
1943025,8,1980,21,0.0,1
1943025,8,1980,22,0.0,1
1943025,8,1980,23,0.0,1
1943025,8,1980,24,0.0,1
1943025,8,1980,25,0.0,1
1943025,8,1980,26,0.0,1
1943025,8,1980,27,0.0,1
1943025,8,1980,28,0.0,1
1943025,8,1980,29,0.0,1
1943025,8,1980,30,0.0,1
1943025,8,1980,31,0.0,1
1943025,9,1980,1,0.0,1
1943025,9,1980,2,0.0,1
1943025,9,1980,3,0.0,1
1943025,9,1980,4,0.0,1
1943025,9,1980,5,0.0,1
1943025,9,1980,6,0.0,1
1943025,9,1980,7,0.0,1
1943025,9,1980,8,0.0,1
1943025,9,1980,9,0.0,1
1943025,9,1980,10,0.0,1
1943025,9,1980,11,0.0,1
1943025,9,1980,12,0.0,1
1943025,9,1980,13,0.0,1
1943025,9,1980,14,0.0,1
1943025,9,1980,15,0.0,1
1943025,9,1980,16,0.0,1
1943025,9,1980,17,0.0,1
1943025,9,1980,18,0.0,1
1943025,9,1980,19,14.1,0
1943025,9,1980,20,0.0,1
1943025,9,1980,21,0.0,1
1943025,9,1980,22,0.0,1
1943025,9,1980,23,0.0,1
1943025,9,1980,24,0.0,1
1943025,9,1980,25,0.0,1
1943025,9,1980,26,12.98,0
1943025,9,1980,27,0.0,1
1943025,9,1980,28,0.0,1
1943025,9,1980,29,0.0,1
1943025,9,1980,30,0.0,1
