gauge,month,year,day,pr,wet_marker
1943025,1,1980,1,40.56409384374836,0
1943025,1,1980,2,1.280971384539422,1
1943025,1,1980,3,0.0,1
1943025,1,1980,4,0.0,1
1943025,1,1980,5,0.0,1
1943025,1,1980,6,0.0,1
1943025,1,1980,7,0.0,1
1943025,1,1980,8,0.4269904615131407,1
1943025,1,1980,9,0.0,1
1943025,1,1980,10,1.280971384539422,1
1943025,1,1980,11,29.889332305919847,0
1943025,1,1980,12,28.821856152136995,0
1943025,1,1980,13,32.02428461348555,0
1943025,1,1980,14,22.416999229439885,0
1943025,1,1980,15,30.9568084597027,0
1943025,1,1980,16,37.361665382399806,0
1943025,1,1980,17,44.83399845887977,0
1943025,1,1980,18,54.441283842925436,0
1943025,1,1980,19,9.607285384045666,0
1943025,1,1980,20,14.944666152959924,0
1943025,1,1980,21,61.9136169194054,0
1943025,1,1980,22,4.269904615131407,0
1943025,1,1980,23,27.967875229110714,0
1943025,1,1980,24,0.3202428461348555,1
1943025,1,1980,25,42.699046151314064,0
1943025,1,1980,26,6.618352153453681,0
1943025,1,1980,27,21.349523075657032,0
1943025,1,1980,28,13.877189999177071,0
1943025,1,1980,29,16.012142306742774,0
1943025,1,1980,30,0.0,1
1943025,1,1980,31,0.0,1
1943025,2,1980,1,51.38334922515082,0
1943025,2,1980,2,41.33008524631696,0
1943025,2,1980,3,3.5744938591409268,0
1943025,2,1980,4,0.0,1
1943025,2,1980,5,0.0,1
1943025,2,1980,6,0.0,1
1943025,2,1980,7,0.0,1
1943025,2,1980,8,0.0,1
1943025,2,1980,9,9.04793758095047,0
1943025,2,1980,10,0.0,1
1943025,2,1980,11,0.0,1
1943025,2,1980,12,0.0,1
1943025,2,1980,13,6.702175985889237,0
1943025,2,1980,14,3.3510879929446187,0
1943025,2,1980,15,0.0,1
1943025,2,1980,16,0.0,1
1943025,2,1980,17,12.510728506993242,0
1943025,2,1980,18,57.7504164117456,0
1943025,2,1980,19,34.06939459493696,0
1943025,2,1980,20,0.0,1
1943025,2,1980,21,0.0,1
1943025,2,1980,22,12.287322640796935,0
1943025,2,1980,23,3.9096026584353885,0
1943025,2,1980,24,0.0,1
1943025,2,1980,25,0.0,1
1943025,2,1980,26,0.0,1
1943025,2,1980,27,0.0,1
1943025,2,1980,28,0.0,1
1943025,2,1980,29,0.0,1
1943025,3,1980,1,2.5345374773212743,0
1943025,3,1980,2,0.0,1
1943025,3,1980,3,0.20276299818570195,1
