gauge,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,month,year,total_pr_tgt,num_days_pr,total_pr_adj,total_pr_diff,num_days_pr_adj,pr_add_per_day,total_pr_readj,num_days_pr_readj,total_pr_diff_again
1943025,01/01/1980,40.66,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,29.98,28.91,32.12,22.51,31.05,37.45,44.93,54.53,9.7,15.04,62.01,4.36,28.06,0.0,42.79,6.71,21.44,13.97,16.1,0.0,0.0,1,1980,543.8791003523629,21,532.631867044715,11.247233307647889,19,0.5919596477709416,543.8800000000001,19,-0.0
1943025,01/02/1980,51.38,41.33,3.57,0.0,0.0,0.0,0.0,0.0,9.05,0.0,0.0,0.0,6.7,3.35,0.0,0.0,12.51,57.75,34.07,0.0,0.0,12.29,3.91,0.0,0.0,0.0,0.0,0.0,0.0,,,2,1980,235.91659470330114,11,230.41659470330114,5.5,11,0.5,235.91000000000003,11,0.01
1943025,01/03/1980,2.62,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,3.43,27.46,0.0,0.0,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1980,47.142397078175705,6,43.63548958271145,3.5069074954642545,6,0.5844845825773758,47.15,6,-0.01
1943025,01/04/1980,5.18,0.0,15.2,0.0,0.0,2.58,13.2,76.13,2.68,20.21,0.0,1.68,12.2,0.9,24.62,1.68,0.7,0.7,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0,0.0,,4,1980,180.45841714107632,16,172.35821813100355,8.100199010072771,12,0.6750165841727309,180.44,12,0.02
1943025,01/05/1980,0.0,0.0,0.0,23.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.33,0.0,0.0,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1980,28.265769581973807,2,25.48865419391524,2.777115388058565,2,1.3885576940292825,28.259999999999998,2,0.01
1943025,01/06/1980,3.81,5.22,0.0,1.93,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,0.0,0.0,2.12,19.78,0.0,0.0,0.0,,6,1980,42.18607318526277,7,38.31025070699762,3.8758224782651496,7,0.55368892546645,42.17,7,0.02
1943025,01/07/1980,0.0,0.0,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1980,17.720141533453997,2,16.720141533453997,1.0,2,0.5,17.72,2,0.0
1943025,01/08/1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,8,1980,1.0661879335977558,1,0.5661879335977558,0.5,0,inf,0.57,0,0.5
1943025,01/09/1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,12.98,0.0,0.0,0.0,0.0,,9,1980,27.080667418275183,2,25.839593227608045,1.2410741906671383,2,0.6205370953335692,27.08,2,0.0
1943025,01/10/1980,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.79,11.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1980,19.896386575151766,2,18.23058335369217,1.6658032214595941,2,0.8329016107297971,19.89,2,0.01
1943025,01/11/1980,28.34,5.16,0.0,0.0,0.0,0.0,0.0,0.0,55.89,36.34,0.0,8.42,21.45,0.15,0.0,0.0,0.0,33.83,0.0,4.7,4.14,0.0,0.0,0.0,49.37,15.87,0.0,0.0,0.0,0.0,,11,1980,263.67210715666295,11,257.67210715666295,6.0,11,0.5454545454545454,263.66,11,0.01
1943025,01/12/1980,9.07,119.32,61.71,4.7,0.49,3.71,43.84,6.09,63.7,27.75,14.73,0.0,22.18,21.19,1.72,0.0,0.49,0.89,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.46,2.72,12,1980,415.9723586622141,16,406.4723586622141,9.5,15,0.6333333333333333,415.96,15,0.01
1943025,01/01/1981,17.12,14.45,1.64,0.0,3.46,0.0,0.0,0.0,0.0,11.14,25.23,16.8,44.45,54.48,0.57,3.24,0.0,0.0,0.0,0.0,0.0,8.58,2.6,16.48,17.12,17.12,7.51,10.71,2.39,0.0,0.0,1,1981,275.08860482984085,19,265.37510959908434,9.713495230756507,18,0.5396386239309171,275.09,18,-0.0
1943025,01/02/1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,0.0,0.0,0.0,0.0,,,,2,1981,13.069243172484015,3,11.234134373189551,1.8351087992944635,3,0.6117029330981545,13.07,3,-0.0
1943025,01/03/1981,0.0,0.0,0.0,0.0,0.0,14.3,1.93,31.54,22.21,2.95,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,16.33,0.0,11.26,38.63,2.13,0.31,0.01,10.45,18.36,29.91,27.48,8.01,10.04,3,1981,246.3570427956278,16,237.25566129653495,9.101381499092838,15,0.6067587666061892,246.35999999999993,15,-0.0
1943025,01/04/1981,0.0,17.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.12,0.0,27.05,,4,1981,108.61572691889326,4,106.61572691889326,2.0,4,0.5,108.61999999999999,4,-0.0
1943025,01/05/1981,0.0,0.0,0.0,0.0,0.0,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.61,0.0,0.0,0.0,0.0,0.0,4.38,0.24,0.0,0.0,5.21,0.0,0.0,5,1981,13.855769402928338,4,10.301538626811205,3.5542307761171337,3,1.1847435920390446,13.850000000000001,3,0.01
1943025,01/06/1981,0.0,0.0,2.99,6.93,0.16,0.0,16.05,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49,0.0,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,,6,1981,34.105889902562105,6,29.824023043863246,4.281866858698859,5,0.8563733717397717,34.12,5,-0.01
1943025,01/07/1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1981,0.0,0,0.0,0.0,0,,0.0,0,0.0
1943025,01/08/1981,0.0,0.0,5.32,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,0.0,0.0,2.57,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1981,31.452544041133795,4,28.774846052200836,2.677697988932959,4,0.6694244972332397,31.44,4,0.01
1943025,01/09/1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9,1981,0.0,0,0.0,0.0,0,,0.0,0,0.0
1943025,01/10/1981,4.54,2.55,3.87,0.0,0.0,0.0,0.0,0.0,4.04,2.21,5.2,27.42,30.73,0.0,0.0,8.35,5.28,0.74,4.2,21.61,11.17,0.0,0.0,0.0,0.0,0.08,0.0,38.19,16.64,20.95,4.2,10,1981,211.97941863609614,18,202.47941863609617,9.499999999999972,17,0.558823529411763,211.96999999999997,17,0.01
1943025,01/11/1981,4.71,10.29,8.24,0.34,11.04,0.0,8.15,0.0,29.84,5.45,39.14,23.32,21.46,75.07,21.46,0.0,12.15,63.72,0.0,0.0,35.42,0.0,8.43,0.0,0.43,41.75,26.11,5.08,0.0,9.36,,11,1981,460.9840969809218,20,449.89102528760844,11.093071693313334,20,0.5546535846656667,460.96000000000004,20,0.02
1943025,01/12/1981,2.24,32.84,2.34,7.01,0.0,0.0,0.0,21.22,3.04,7.01,2.84,0.0,1.85,5.52,0.0,0.79,4.83,29.26,3.83,0.0,0.0,0.0,0.2,0.0,0.0,0.0,49.72,88.46,26.88,0.0,1.75,12,1981,291.617680284685,18,282.117680284685,9.5,17,0.5588235294117647,291.63,17,-0.01
