,1981,2030,2040
Jan,6.377687333333337,6.629322380952381,6.794689047619047
Feb,5.400953666666667,5.936983333333333,5.996371428571429
Mar,4.3830979999999995,4.3995676190476205,4.423236666666666
Apr,1.7107470000000002,1.681512857142857,1.685722857142857
May,0.5931163666666666,0.5453582380952382,0.5478499523809524
Jun,0.4238295666666667,0.4053254285714286,0.39974147619047623
Jul,0.3898522333333333,0.3839831428571428,0.3810338095238094
Aug,0.47464180000000006,0.4077769523809524,0.42946561904761904
Sep,0.9719398666666669,0.8529100952380952,0.8044404285714286
Oct,2.47374,2.127890476190476,2.055400952380952
Nov,4.8188179999999985,4.627493333333332,4.492029047619046
Dec,6.694917666666667,6.732460476190475,6.66699380952381
