,1981,2030,2040
Jan,23.599176666666672,24.99902857142857,25.38327142857143
Feb,23.69793666666666,24.98103809523809,25.336119047619054
Mar,23.045920000000002,24.285047619047617,24.730471428571427
Apr,21.545286666666666,22.92809523809524,23.399580952380955
May,19.44576,20.889209523809523,21.419952380952378
Jun,17.720990000000004,19.22844761904762,19.708819047619045
Jul,17.48267333333333,18.871647619047614,19.34408095238095
Aug,18.880946666666667,20.372238095238092,20.781461904761905
Sep,21.490606666666668,23.071004761904764,23.58615714285714
Oct,23.367036666666667,25.15706666666667,25.76799047619048
Nov,23.578840000000003,25.445395238095237,26.082419047619045
Dec,23.535333333333334,24.974761904761905,25.539885714285717
