gauge,month,year,day,pr,wet_marker
1943035,1,1980,1,6.8,0
1943035,1,1980,2,19.0,0
1943035,1,1980,3,0.0,1
1943035,1,1980,4,0.0,1
1943035,1,1980,5,2.3,0
1943035,1,1980,6,0.0,1
1943035,1,1980,7,0.0,1
1943035,1,1980,8,0.0,1
1943035,1,1980,9,3.7,0
1943035,1,1980,10,1.0,0
1943035,1,1980,11,14.6,0
1943035,1,1980,12,40.6,0
1943035,1,1980,13,22.4,0
1943035,1,1980,14,32.0,0
1943035,1,1980,15,4.5,0
1943035,1,1980,16,18.2,0
1943035,1,1980,17,12.2,0
1943035,1,1980,18,20.2,0
1943035,1,1980,19,9.6,0
1943035,1,1980,20,0.1,1
1943035,1,1980,21,0.0,1
1943035,1,1980,22,5.5,0
1943035,1,1980,23,0.4,1
1943035,1,1980,24,0.7,1
1943035,1,1980,25,14.4,0
1943035,1,1980,26,47.2,0
1943035,1,1980,27,20.4,0
1943035,1,1980,28,22.5,0
1943035,1,1980,29,18.6,0
1943035,1,1980,30,0.0,1
1943035,1,1980,31,0.0,1
1943035,2,1980,1,0.0,1
1943035,2,1980,2,0.6,1
1943035,2,1980,3,28.0,0
1943035,2,1980,4,1.1,0
1943035,2,1980,5,0.0,1
1943035,2,1980,6,0.0,1
1943035,2,1980,7,0.0,1
1943035,2,1980,8,0.0,1
1943035,2,1980,9,0.0,1
1943035,2,1980,10,6.2,0
1943035,2,1980,11,0.0,1
1943035,2,1980,12,0.0,1
1943035,2,1980,13,0.0,1
1943035,2,1980,14,1.4,0
1943035,2,1980,15,5.7,0
1943035,2,1980,16,0.7,1
1943035,2,1980,17,16.0,0
1943035,2,1980,18,12.0,0
1943035,2,1980,19,34.1,0
1943035,2,1980,20,5.2,0
1943035,2,1980,21,0.0,1
1943035,2,1980,22,1.4,0
1943035,2,1980,23,0.0,1
1943035,2,1980,24,0.0,1
1943035,2,1980,25,0.0,1
1943035,2,1980,26,0.0,1
1943035,2,1980,27,0.0,1
1943035,2,1980,28,0.0,1
1943035,2,1980,29,0.0,1
1943035,3,1980,1,5.9,0
1943035,3,1980,2,0.6,1
1943035,3,1980,3,0.0,1
1943035,3,1980,4,0.1,1
1943035,3,1980,5,0.0,1
1943035,3,1980,6,0.0,1
1943035,3,1980,7,0.0,1
1943035,3,1980,8,0.0,1
1943035,3,1980,9,0.0,1
1943035,3,1980,10,0.0,1
1943035,3,1980,11,0.0,1
1943035,3,1980,12,0.0,1
1943035,3,1980,13,0.0,1
1943035,3,1980,14,2.1,0
1943035,3,1980,15,17.4,0
1943035,3,1980,16,21.1,0
1943035,3,1980,17,0.0,1
1943035,3,1980,18,0.0,1
1943035,3,1980,19,0.0,1
1943035,3,1980,20,0.0,1
1943035,3,1980,21,0.0,1
1943035,3,1980,22,0.0,1
1943035,3,1980,23,0.0,1
1943035,3,1980,24,0.0,1
1943035,3,1980,25,0.0,1
1943035,3,1980,26,0.0,1
1943035,3,1980,27,0.0,1
1943035,3,1980,28,0.0,1
1943035,3,1980,29,0.0,1
1943035,3,1980,30,0.0,1
1943035,3,1980,31,0.0,1
1943035,4,1980,1,52.4,0
1943035,4,1980,2,0.0,1
1943035,4,1980,3,109.4,0
1943035,4,1980,4,0.0,1
1943035,4,1980,5,0.0,1
1943035,4,1980,6,9.2,0
1943035,4,1980,7,4.1,0
1943035,4,1980,8,27.4,0
1943035,4,1980,9,1.2,0
1943035,4,1980,10,12.8,0
1943035,4,1980,11,0.0,1
1943035,4,1980,12,1.6,0
1943035,4,1980,13,10.0,0
1943035,4,1980,14,17.6,0
1943035,4,1980,15,0.0,1
1943035,4,1980,16,6.9,0
1943035,4,1980,17,0.0,1
1943035,4,1980,18,9.4,0
1943035,4,1980,19,1.4,0
1943035,4,1980,20,0.0,1
1943035,4,1980,21,1.7,0
1943035,4,1980,22,0.0,1
1943035,4,1980,23,0.0,1
1943035,4,1980,24,0.0,1
1943035,4,1980,25,0.0,1
1943035,4,1980,26,1.1,0
1943035,4,1980,27,0.3,1
1943035,4,1980,28,0.3,1
1943035,4,1980,29,0.0,1
1943035,4,1980,30,0.0,1
1943035,5,1980,1,0.0,1
1943035,5,1980,2,0.0,1
1943035,5,1980,3,1.9,0
1943035,5,1980,4,60.3,0
1943035,5,1980,5,0.0,1
1943035,5,1980,6,0.0,1
1943035,5,1980,7,0.0,1
1943035,5,1980,8,0.0,1
1943035,5,1980,9,0.0,1
1943035,5,1980,10,0.0,1
1943035,5,1980,11,0.0,1
1943035,5,1980,12,0.0,1
1943035,5,1980,13,0.0,1
1943035,5,1980,14,6.2,0
1943035,5,1980,15,9.1,0
1943035,5,1980,16,0.0,1
1943035,5,1980,17,0.0,1
1943035,5,1980,18,0.0,1
1943035,5,1980,19,0.0,1
1943035,5,1980,20,0.0,1
1943035,5,1980,21,0.0,1
1943035,5,1980,22,0.0,1
1943035,5,1980,23,0.4,1
1943035,5,1980,24,0.8,1
1943035,5,1980,25,0.0,1
1943035,5,1980,26,0.0,1
1943035,5,1980,27,0.0,1
1943035,5,1980,28,0.0,1
1943035,5,1980,29,0.0,1
1943035,5,1980,30,0.0,1
1943035,5,1980,31,0.0,1
