gauge,year,month,day,tmax,tmin
83589,1980,1,1,30.7,
83589,1980,1,1,,22.1
83589,1980,1,2,30.6,
83589,1980,1,2,,21.7
83589,1980,1,3,31.2,
83589,1980,1,3,,20.7
83589,1980,1,4,32.3,
83589,1980,1,4,,22.0
83589,1980,1,5,30.8,
83589,1980,1,5,,21.5
83589,1980,1,7,30.5,
83589,1980,1,7,,21.8
83589,1980,1,8,26.5,
83589,1980,1,8,,22.7
83589,1980,1,9,30.3,
83589,1980,1,9,,21.7
83589,1980,1,10,32.5,
83589,1980,1,10,,22.7
83589,1980,1,11,28.9,
83589,1980,1,11,,22.2
83589,1980,1,12,27.0,
83589,1980,1,12,,21.4
83589,1980,1,13,24.5,
83589,1980,1,13,,20.5
83589,1980,1,14,28.0,
83589,1980,1,14,,21.2
83589,1980,1,15,24.1,
83589,1980,1,15,,21.5
83589,1980,1,16,26.3,
83589,1980,1,16,,20.8
83589,1980,1,19,32.7,
83589,1980,1,19,,22.2
83589,1980,1,20,35.5,
83589,1980,1,20,,20.9
83589,1980,1,21,34.5,
83589,1980,1,21,,22.1
83589,1980,1,23,33.0,
83589,1980,1,23,,21.5
83589,1980,1,24,32.2,
83589,1980,1,24,,20.9
83589,1980,1,25,31.8,
83589,1980,1,25,,21.7
83589,1980,1,26,32.7,
83589,1980,1,26,,21.9
83589,1980,1,27,32.7,
83589,1980,1,27,,22.0
83589,1980,1,28,33.5,
83589,1980,1,28,,20.9
83589,1980,1,29,32.3,
83589,1980,1,29,,21.1
83589,1980,1,30,30.5,
83589,1980,1,30,,22.4
83589,1980,2,1,32.0,
83589,1980,2,1,,19.0
83589,1980,2,2,29.6,
83589,1980,2,2,,22.0
83589,1980,2,3,29.2,
83589,1980,2,3,,21.6
83589,1980,2,4,32.2,
83589,1980,2,4,,21.0
83589,1980,2,5,32.8,
83589,1980,2,5,,19.1
83589,1980,2,6,34.2,
83589,1980,2,6,,19.7
83589,1980,2,7,32.8,
83589,1980,2,7,,21.5
83589,1980,2,8,34.8,
83589,1980,2,8,,21.5
83589,1980,2,9,31.0,
83589,1980,2,9,,21.8
83589,1980,2,10,31.4,
83589,1980,2,10,,22.3
