,elnino_metric,month,n,p_value,r_value,sig,station
0,nino4a,10.0,62.0,0.006652704494124206,-0.3411820457155618,1.0,1943003
0,nino4a,10.0,61.0,0.014511428675198645,-0.31157877310401855,1.0,1843002
0,nino12a,11.0,61.0,0.018329141525399096,-0.30120678175368176,1.0,1843002
0,nino4a,10.0,56.0,0.026396665204243018,-0.2966798165619885,1.0,1943035
0,nino12a,10.0,62.0,0.02308148231946182,-0.28826624708484616,1.0,1943003
0,nino3.4a,10.0,61.0,0.03315829928255962,-0.27317959242302464,1.0,1843002
0,nino3a,10.0,62.0,0.035241025256373945,-0.2679506172222389,1.0,1943003
0,nino12a,11.0,69.0,0.03216121976567778,-0.25824042506926764,1.0,1943025
0,nino3a,11.0,69.0,0.03472088929792825,-0.2546516971393634,1.0,1943025
0,nino3.4a,10.0,62.0,0.05352952463259511,-0.24640906075412036,0.0,1943003
0,nino3a,11.0,61.0,0.05842319664231178,-0.24368555013839682,0.0,1843002
0,nino3.4a,11.0,69.0,0.044001648756034344,-0.24325485555132587,1.0,1943025
0,nino3.4a,11.0,61.0,0.0698946282624359,-0.23368831383459673,0.0,1843002
0,nino4a,10.0,69.0,0.05411613728248846,-0.2329073549138156,0.0,1943025
0,nino3a,10.0,61.0,0.08243581061156569,-0.22416282347620975,0.0,1843002
0,nino3.4a,10.0,56.0,0.10073226456237258,-0.2215915021581139,0.0,1943035
0,nino4a,11.0,61.0,0.09374150278898033,-0.2165131773046823,0.0,1843002
0,nino3.4a,10.0,69.0,0.08638911895963701,-0.20796858338826413,0.0,1943025
0,nino3.4a,12.0,57.0,0.13526541686356738,-0.20026611804407382,0.0,1943035
0,nino3a,12.0,57.0,0.1457050491288982,-0.19516762918411965,0.0,1943035
0,nino3.4a,11.0,63.0,0.15236471497737986,-0.18245397160138976,0.0,1943003
0,nino4a,12.0,61.0,0.1733897585797177,-0.1765883249239458,0.0,1843002
0,nino4a,11.0,69.0,0.14692620298416795,-0.17646684874535315,0.0,1943025
0,nino12a,11.0,56.0,0.20423651924698666,-0.17226769450139626,0.0,1943035
0,nino4a,11.0,63.0,0.1804882475988284,-0.17090803999262247,0.0,1943003
0,nino3a,10.0,56.0,0.23820825701021103,-0.16020710937449623,0.0,1943035
0,nino4a,6.0,68.0,0.2060745156402785,-0.15528193677200655,0.0,1943025
0,nino3.4a,11.0,56.0,0.2622685036734453,-0.152365831940211,0.0,1943035
0,nino12a,3.0,64.0,0.24631419981101876,-0.14702715959885557,0.0,1943003
0,nino3a,11.0,63.0,0.2617699900473761,-0.14352672056237537,0.0,1943003
0,nino3a,11.0,56.0,0.2921346183641507,-0.14327686837843792,0.0,1943035
0,nino4a,11.0,56.0,0.29784038550363634,-0.14161094690774034,0.0,1943035
0,nino4a,6.0,56.0,0.2999180569944991,-0.14100948183103837,0.0,1943035
0,nino3a,10.0,69.0,0.25422249908121347,-0.13913125720361116,0.0,1943025
0,nino4a,6.0,60.0,0.2942304180284281,-0.13766050368827162,0.0,1843002
0,nino12a,3.0,60.0,0.31650288416471634,-0.13151890854963533,0.0,1843002
0,nino3a,3.0,64.0,0.30700162025097616,-0.12970774470256036,0.0,1943003
0,nino3.4a,12.0,61.0,0.33758333731681556,-0.12488313908484537,0.0,1843002
0,nino12a,10.0,61.0,0.35199843864465363,-0.12123422258385222,0.0,1843002
0,nino4a,3.0,57.0,0.3739832794057619,-0.1199878748939432,0.0,1943035
0,nino12a,10.0,56.0,0.3890843890319353,-0.11734147685977334,0.0,1943035
0,nino12a,12.0,57.0,0.39239730974555753,-0.11546279649901837,0.0,1943035
0,nino4a,3.0,60.0,0.3825104289131164,-0.1147812628791935,0.0,1843002
