,elnino_metric,n,p_value,r_value,season,sig,station
0,nino3.4a,61.0,0.3311740485272041,-0.1265367988231279,0,0.0,1943003
0,nino3a,61.0,0.4192762283369421,-0.10530303368258892,0,0.0,1943003
0,nino4a,61.0,0.44482637308482476,-0.09964657466285448,0,0.0,1943003
0,nino3.4a,58.0,0.45915611327818495,-0.09911581336194605,0,0.0,1843002
0,nino4a,58.0,0.476306812101537,-0.09538655261320986,0,0.0,1843002
0,nino4a,67.0,0.5679086871518333,-0.07102352590274173,0,0.0,1943025
0,nino3a,58.0,0.6188343292141446,-0.06670459492489236,0,0.0,1843002
0,nino3.4a,67.0,0.7259064158441523,-0.04363035712697044,0,0.0,1943025
0,nino4a,56.0,0.7531666894982453,-0.04297215920498269,0,0.0,1943035
0,nino3a,67.0,0.8586138966762985,-0.02217782186684212,0,0.0,1943025
0,nino3.4a,56.0,0.9827444648051518,0.0029568882236229673,0,0.0,1943035
0,nino12a,67.0,0.971970768783436,0.004374939160192201,0,0.0,1943025
0,nino3a,56.0,0.5960451981996555,0.0723764837606588,0,0.0,1943035
0,nino12a,58.0,0.4565770292865019,0.09968309896637623,0,0.0,1843002
0,nino4a,60.0,0.40014240491717235,0.11061298837544895,1,0.0,1843002
0,nino12a,56.0,0.4028260323465137,0.11399941946497703,0,0.0,1943035
0,nino12a,61.0,0.27567375267799943,0.14179846909705446,0,0.0,1943003
0,nino3.4a,60.0,0.10841106042998863,0.20935324796427957,1,0.0,1843002
0,nino12a,64.0,0.07443823661592389,0.2245572636459267,1,0.0,1943003
0,nino3a,60.0,0.04478434683677313,0.26005508561094487,1,1.0,1843002
0,nino12a,60.0,0.03303920781025288,0.2756323004712042,1,1.0,1843002
0,nino4a,64.0,0.014038304426287606,0.30567207334989976,1,1.0,1943003
0,nino12a,68.0,0.008045538244852338,0.3188543392143189,1,1.0,1943025
0,nino4a,68.0,0.004826337892551476,0.3379298397400867,1,1.0,1943025
0,nino3a,64.0,0.004302682170111213,0.3523084142264252,1,1.0,1943003
0,nino4a,55.0,0.005284059399242368,0.3710864433120432,1,1.0,1943035
0,nino3a,68.0,0.0011839234661689348,0.3850934492317084,1,1.0,1943025
0,nino3.4a,64.0,0.001413231389748865,0.3907048573176064,1,1.0,1943003
0,nino12a,55.0,0.0014888874725091014,0.418157118036504,1,1.0,1943035
0,nino3.4a,68.0,0.00031405228537849833,0.424029621540129,1,1.0,1943025
0,nino3.4a,55.0,0.0010129420132380135,0.4312281665928257,1,1.0,1943035
0,nino3a,55.0,0.00043497906183732535,0.45821344433463357,1,1.0,1943035
